Items,Sources,Brief Descriptions,Descriptions
"self-direction (3), be self-directed learners","Frameworks (Building Blocks for Learning), Claude Opus 4.5 (Independence), Clinical scales (Independence), Frameworks (21st Century Learning)","A process in which learners take the initiative in planning, implementing and evaluating their own learning needs and outcomes, with or without the help of others.///Working without supervision///Working independently///Go beyond basic mastery of skills and/or curriculum to explore and expand one’s own learning and opportunities to gain expertise; Demonstrate initiative to advance skill levels towards a professional level; Demonstrate commitment to learning as a lifelong process; Reflect critically on past experiences in order to inform future progress",///The student's ability to work productively and stay on task without constant adult monitoring or guidance.///The student's ability to initiate and sustain work or activities without constant adult direction or supervision.///
"Self-Image, self-concept (2), Self-Worth, child recognizes self as a unique individual having own abilities, characteristics, emotions, and interests, self-competence, positive self-concept, positive core self-evaluation","FACETS (Sense of Self), Frameworks (Kenya TVET Values and Life Skills (VaLI) Framework), Frameworks (Vision of the Haitian Child in Society: Social Emotional Framework), Claude Opus 4.5 (Self-Perception), Frameworks (Head Start), Frameworks (Room to Read Life Skills Education Learning Outcomes), Frameworks (USAID YouthPower Action Key Soft Skills for Cross-Sectoral Youth Outcomes), Frameworks (Hilton & Pellegrino Clusters of 21st Century Competencies)","recognizing one's own strengths and weaknesses///Students are able to have an idea of self, constructed from the beliefs one holds about one self and the responses to others.///Personal Idenity (Categories (i.e. color, gender) traits, roles, existential) Historical identity and national pride (ethnicity, heritage, colonization and effects etc.) Healthy self-image Confidence, self-esteem, dignity, value Experiencing success (and avoiding false praise)///Sense of personal value///Child recognizes self as a unique individual having own abilities, characteristics, emotions, and interests.///Girls believe they have inner-worth and that they matter. Girls have a strong sense of identity and can describe positive attributes, strengths, and talents that they possess. Girls recognize and understand that their strengths and talents contribute positively to their family, school, and community.///Positive self-conceptrefers to “a realistic awareness of oneself and one’s abilities that reflects an understanding of his/her strengths and potential (and hence, is, positive)” (Lippman et al., 2015). In addition to being an important intrapersonal skill for workforce success, positive self-concept is supported by empirical evidence and experts in the field as an important skill for preventing different forms of youth violence. Positive self-concept enables youth to walk away from a fight, or successfully navigate challengingtasks and situations at work. Experts highlight that the effects of positive self-concept on violence prevention outcomes may operate through different mechanisms and may differ depending on the context.///Type 2 self-regulation (self- monitoring, self-evaluation, self- reinforcement), physical and psychological health","Self-image is the internal sense of identity. It not only includes objective perception of self, along with wishes and aspirations as well as the notion of how one compares to others. The objective components of self-image include perceptions of how one looks, feels, thinks, and acts, placed in a cultural frame, that includes lessons learned from peers, family members, and the community (e.g., role models, social media, etc.)./////////The student's apparent sense of being a valued, likable, and worthwhile person, as reflected in statements and behavior.////////////"
"Self-Monitoring (2), implementation","Gemini 3 Pro (Organization & Planning), GPT 5.2 Thinking (Organization & Planning), Frameworks (ACT Holistic Framework)","checking own work and behavior///checking work and behavior and adjusting as needed///Ongoing actions that take place to execute, monitor, and evaluate one’s plan for achieving goals (e.g., collecting and analyzing information to track progress, comparing one’s plan to what has been accomplished)","Self-monitoring is the executive function skill of observing and evaluating one's own performance and behavior. It involves 'checking in' with oneself to see if the current actions are aligning with the goal (e.g., checking math problems for errors, noticing if one is talking too loudly). Effective self-monitoring allows for self-correction and improved accuracy and social appropriateness.///Self-monitoring is the ability to notice one’s own performance and make adjustments (e.g., checking for errors, noticing off-task behavior, and correcting course). Strong self-monitoring supports accuracy and appropriate classroom behavior. Difficulty may appear as turning in work without review, not noticing mistakes, or continuing a behavior even after it is affecting learning or peers.///"
"self-reflection/meta-cognition, thinking about our thinking (metacognition), working memory and meta-cognition, ability to reflectively monitor emotions in relation to oneself and others, such as recognizing how clear, typical, influential, or reasonable they are","Frameworks (OECD), Frameworks (Habits of Mind), Frameworks (K-3 SEL Standards (Connecticut)), Frameworks (Emotional Intelligence)","Awareness of inner processes and subjective experiences, such as thoughts and feelings, and the ability to reflect on and articulate such experiences.///Occurring in the neocortex, metacognition is our ability to know what we know and what we don't know. It is our ability to plan a strategy for producing what information is needed, to be conscious of our own steps and strategies during the act of problem solving, and to reflect on and evaluate the productiveness of our own thinking. While ""inner language,"" thought to be a prerequisite, begins in most children around age five, metacognition is a key attribute of formal thought flowering about age eleven. Probably the major components of metacognition are developing a plan of action, maintaining that plan in mind over a period of time, then reflecting back on and evaluating the plan upon its completion. Planning a strategy before embarking on a course of action assists us in keeping track of the steps in the sequence of planned behavior at the conscious awareness level for the duration of the activity. It facilitates making temporal and comparative judgments, assessing the readiness for more or different activities, and monitoring our interpretations, perceptions, decisions and behaviors. An example of this would be what superior teachers do daily: developing a teaching strategy for a lesson, keeping that strategy in mind throughout the instruction, then reflecting back upon the strategy to evaluate its effectiveness in producing the desired student outcomes. Intelligent people plan for, reflect on, and evaluate the quality of their own thinking skills and strategies. Metacognition means becoming increasingly aware of one's actions and the effect of those actions on others and on the environment; forming internal questions as one searches for information and meaning, developing mental maps or plans of action, mentally rehearsing prior to performance, monitoring those plans as they are employed--being conscious of the need for midcourse correction if the plan is not meeting expectations, reflecting on the plan upon completion of the implementation for the purpose of self-evaluation, and editing mental pictures for improved performance.///Full set of indicators in framework.///Ability to reflectively monitor emotions in relation to oneself and others, such as recognizing how clear, typical, influential, or reasonable they are.",/////////
"Sensory Reactivity, gathering data through all senses","FACETS (Behavior Control and Regulation), Frameworks (Habits of Mind)","responding to sensory input including touch taste smell sight hearing and somatic///Intelligent people know that all information gets into the brain through the sensory pathways: gustatory, olfactory, tactile, kinesthetic, auditory, visual, Most linguistic, cultural, and physical learning is derived from the environment by observing or taking in through the senses. To know a wine it must be drunk; to know a role it must be acted; to know a game it must be played; to know a dance it must be moved; to know a goal it must be envisioned. Those whose sensory pathways are open, alert, and acute absorb more information from the environment than those whose pathways are withered, immune, and oblivious to sensory stimuli.","There is enormous individual variability in the perception and ability to interpret and respond to sensory input. Sensations typically includes the five senses (e.g., touch, taste, smell, sight, and hearing), however, somatic perceptions (e.g., pain, heart rate, respiratory rate, kinesthetics, etc.) are often sensed quite acutely, and can modulate emotions, cognitions, and behavior. Precision in the identification of sensory inputs and the reaction to them is essential for safe interactions with the environment as well as appropriate social function.///"
Sexual/Gender Identity and Behavior,FACETS (Sense of Self),expressing age-appropriate sexual identity and behavior,"Sexual behavior includes behaviors that are related to an individual's particular individual “sexual identity.” While there are generally male and female biological differences amongst humans, there exists a broad spectrum of gender-related behaviors that are “assigned” or “learned,” based on cultural and social expectations in a community, not infrequently independent of “sex assigned at birth.” Some behaviors appear to be “assigned,” and are often considered “conventional.” When there are variations that don’t meet social expectations, it can cause discomfort - for children, peers, and/or adults - and can lead to adverse outcomes like bullying, discrimination and social isolation. Examples of these are so-called “effeminate” males or “masculine” females. Most “unconventional” gender behaviors are not abnormal but simply represent the broad variation in expressions of identity."
"Sleep Disturbance, Sleep-Related Concerns, Fatigue Indicators","FACETS (General Well-Being), Clinical scales (Physical Well-Being), Claude Opus 4.5 (Physical Well-Being)",evidence of inadequate duration or quality of sleep including drowsiness and persistent lack of energy///Signs of inadequate or poor sleep///Signs of tiredness,"While the precise function of sleep is unknown, sleep appears to be a physiological state in which the brain rests and resets some of its functions. While the brain is engaged in sleep, the remainder of the human body also gets a chance to rest and recover from the physical exertion of the previous day. Sleep may also play a restorative role for physiologic, cognitive, and emotional functioning and wellbeing. Sleep has discrete stages, one of which allows for dreaming. Typically, individuals sleep varying amounts of time, ranging from 4-10 hours, usually, but not necessarily occurring at night. Daytime napping may also be a healthy component of sleep. One goal for sleep is to gain adequate amounts of rest to support ongoing activities during the waking hours. Pre-bedtime and bedtime routines are commonly associated with sleep, and may include social activities (e.g., story telling, prayers, reading, etc.). Sleep difficulties include either inadequate or excessive amounts of sleep, as well as excessive and inappropriate daytime drowsiness.///Observable indicators that the student may not be getting adequate rest, including fatigue, difficulty waking, or mentions of sleep problems///Observable signs that the student is tired, sleepy, or lacking the physical or mental energy needed to engage in school activities."
"sociability, active community life","Frameworks (ACT Holistic Framework), Frameworks (Singapore Framework for 21CC and Student Outcomes)","Seeking out and enjoying situations involving interpersonal interaction and building relationships with others///A person who lead an active community life, (1) demonstrates a sense of responsibility towards community, (2) is civic-minded, (3) supports and contributes through community and nation-building activities.",///
"social awareness (2), social cognition, social intelligence, ability to identify emotions in other people, designs, artwork, etc., through language, sound, appearance, and behavior, ability to discriminate between accurate and inaccurate, or honest versus dishonest expressions of feeling, attending to our social reality, social/emotional intelligence, student demonstrates awareness of other people's emotions and perspectives, ability to interpret the meanings that emotions convey regarding relationships, such as that sadness often accompanies a loss, perspective taking, socio-cultural sensitivity and awareness, family and community","Frameworks (MESH), Claude Opus 4.5 (Social Functioning), Frameworks (MELQO MODEL Framework), Frameworks (KIPP), Frameworks (Emotional Intelligence), Frameworks (Emotional Intelligence), Frameworks (Social, Emotional, and Ethical (SEE) Learning Framework), Frameworks (Character Lab), Frameworks (K-12 SEL Standards (Anchorage)), Frameworks (Emotional Intelligence), Frameworks (ACT Holistic Framework), Frameworks (Singapore Framework for 21CC and Student Outcomes), Frameworks (Sesame Workshop Global Framework for Learning)","Social Awareness is the ability to take the perspective of and empathize with others from diverse backgrounds and cultures, to understand social and ethical norms for behavior, and to recognize family, school, and community resources and supports.///Understanding social cues and others' perspectives///Social cognition captures children’s abilities to think about and comprehend social relationships with others, recognize the feelings of others, and, if required, take actions that are meant to make others feel better. Social cognition encompasses empathy – children’s abilities to read others’ emotions and respond appropriately – as well as prosocial behaviour that includes helping others who may be in distress. Understanding the feelings of oneself and others includes the ability to (1) comprehend basic emotions (e.g. happiness, sadness and anger) and how these emotions are expressed, as well as their antecedents, causes and consequences; (2) recognize that emotions are complex (e.g. two individuals can feel two different emotions in response to the same event); and (3) distinguish rules for how to display basic and more complex emotions (e.g. shame or guilt). Accurate interpretation of the feelings of others provides important information about social situations and what constitutes appropriate responses.///Understanding the feelings of others and adapting actions accordingly///Ability to identify emotions in other people, designs, artwork, etc., through language, sound, appearance, and behavior.///Ability to discriminate between accurate and inaccurate, or honest versus dishonest expressions of feeling.///Recognize our inherently social nature and attend to the presence of others and the roles they play in our lives///Social/Emotional intelligence is understanding feelings and using them to inform actions.///Full set of indicators in framework.///Ability to interpret the meanings that emotions convey regarding relationships, such as that sadness often accompanies a loss.///Identifying, acknowledging, and understanding the emotions of others, showing concern for others, and considering the audience when providing information///A person with socio-cultural sensitivity and awareness: (1) emphaises with others through understanding, acceptance, and respect; and (2) engages in appropriate behaviour with other socio-cultural groups in both local and international contexts, in a way which would enhance social cohesion.///Recognition and respect of diversity and unity in families and communities. Children developing an awareness of family and community learn to: Recognize that there are different types of families. Children come to identify and appreciate their own family. They learn to respect the families of others, even when those families do not look or behave like their own. Families can vary by number of people, gender, roles, responsibilities, appearances, etc. Understand that different families live in different types of homes. Children learn that not all families live in homes like their own. Families can live in different places (urban, rural, etc.) and in different types of buildings (apartments/flats, houses, huts, etc.). Recognize that people in the community have different jobs. Children learn and appreciate that different people contribute to their community by doing different types of work (e.g., police officer, teacher, shop owner, bus driver, sanitation worker, doctor, etc.). Identify and respect different community institutions, organizations, and cultural establishments. Children become familiar with different community institutions (e.g., libraries, schools, religious center, etc.), organizations, and establishments and they show respect for the people and cultures associated with them.","///The degree to which the student recognizes and interprets social signals, understands how their behavior affects others, and demonstrates awareness of others' feelings and viewpoints./////////////////////////////////"
"Social Comfort, Social Concerns, Social Nervousness, Peer Acceptance","Clinical scales (Social Connections), Clinical scales (Worry and Fear), Clinical scales (Worry & Nervousness), GPT 5.2 Thinking (School Belonging and Connectedness)",Ease in social interactions///Worry about social situations///Discomfort in social situations///feeling accepted and valued by classmates and peers,"How comfortable and at ease a student feels when interacting with peers, adults, and people they don't know well///The student's concerns about peer acceptance, social performance, or being judged or embarrassed by others.///A student's level of anxiety or self-consciousness when interacting with others, being observed, performing in front of people, or meeting new peers///Peer acceptance refers to the extent to which a student feels liked, included, and respected by peers. It can influence participation, confidence, and emotional comfort at school. Low peer acceptance may show as social isolation, frequent rejection experiences, or strong concern about peers’ opinions that interferes with learning."
"Social Communication, communication, communication skills, interpersonal communication skills, Conversation Skills, communicate clearly, Conversational Skills, skillful communication","FACETS (Interacting with Others), Frameworks (UNICEF MENA Life Skills and Citizenship Education - Conceptual and Programmatic Framework), Frameworks (Kenya TVET Values and Life Skills (VaLI) Framework), Frameworks (WHO Skills for Health), Clinical scales (Communication), Frameworks (21st Century Learning), Claude Opus 4.5 (Communication), Frameworks (Social, Emotional, and Ethical (SEE) Learning Framework)","communication enabling social interactions///Communication, or being able to communicate, involves the sharing of meaning through the exchange of information and common understanding (Keyton, 2011; Lunenberg, 2010; Castells, 2009). It takes place in the context of social relationships (Schiller, 2007; Castells, 2009) between two or more individuals and is considered an interpersonal skill. While communication enables human interaction and participation in society, the prevalence of new technologies and social media, particularly among youth in MENA, indicates a strong human drive for social communication (Kuhl, 2011; Dennis et al., 2016).///Students are able to receive, perceive and send information to other people efficiently. It is a two-way exchange of information and understanding. Communication skills are an essential source of self-worth and self-efficacy.///verbal/nonverbal communication active listening expressing feelings; giving feedback (without blaming) and receiving feedback///Back-and-forth communication///Articulate thoughts and ideas effectively using oral, written and nonverbal communication skills in a variety of forms and contexts; Listen effectively to decipher meaning, including knowledge, values, attitudes and intentions; Use communication for a range of purposes (e.g. to inform, instruct, motivate and persuade); Utilize multiple media and technologies, and know how to judge their effectiveness a priori as well as assess their impact; Communicate effectively in diverse environments (including multi-lingual)///Engaging in back-and-forth dialogue///Communicate compassionately in a way that empowers self and others","Social functioning is the ability to share thoughts, needs, ideas, and behaviors. Social communication includes words and gestures in conjunction with an “invitation” to respond, as well as the willingness to receive and accept social responses. This leads to reciprocity, or “turn-taking,” the repeated exchanges of thoughts, needs, ideas, and behaviors that form the basis of conversation, discussion, collaborative work, and play.////////////The student's ability to engage in reciprocal conversation, including taking turns, staying on topic, and responding appropriately.//////The student's ability to participate in reciprocal conversations, including turn-taking, staying on topic, and responding appropriately to what others say.///"
"Social Cooperation, Getting Along with Others, cooperation during learning experiences, child engages in cooperative play with other children, Peer Inclusion, agreeableness","FACETS (Interacting with Others), Clinical scales (Social Connections), Frameworks (K-3 SEL Standards (Connecticut)), Frameworks (Head Start), GPT 5.2 Thinking (Interacting with Others), Frameworks (Big Five Personality Traits)","cooperating in social interactions including play///Cooperative interaction with peers///Full set of indicators in framework.///Child engages in cooperative play with other children///including others and responding positively to inclusion///the tendency to act in a cooperative, unselfish manner","Cooperation is working together with other individuals, or in groups, to achieve a common goal or objective. This requires effective communication for sharing of thoughts, ideas, and plans, as well as a willingness to be flexible and context sensitive when sharing behaviors and communications.///A student's general ability to interact positively with other students—sharing, taking turns, resolving conflicts, and being accepted by the peer group/////////Peer inclusion is the tendency to invite others into activities, respond kindly to peers who join, and help ensure that classmates are not left out. It may show in group work, recess, or classroom discussions. Difficulty may appear as excluding behavior, ignoring peers’ attempts to join, or reluctance to work with students outside a preferred friend group.///"
Social Engagement (2),"FACETS (Interacting with Others), Clinical scales (Social Relationships)",engaging in social behavior///Participating with others,"Social engagement is the combination of intent to form and maintain social interactions combined with the appropriate and flexible application of social speech, cues, gestures, and behaviors (e.g., smiling, visual regard, hand shaking/bowing, etc.). Social engagement directs these behaviors toward individuals or groups, with the goal of establishing and maintaining reciprocal, social transactions and relationships.///The student's interest in and initiation of social interactions, group activities, and cooperative play or work."
social management,Frameworks (EU NESET Framework for Social and Emotional Education),"Students have good relationship skills, being able to establish and maintain healthy and rewarding relationships based on co-operation and collaboration. They resist inappropriate social pressure; constructively prevent, manage and resolve interpersonal conflict; and seek and provide help when needed. They demonstrate ethical behaviour and responsible decision making in the various contexts they operate, considering the needs and rights of others in their behaviour and decisions. More specifically, this content area includes the following competencies. Healthy and rewarding relationships with individuals and groups, appreciating equality and diversity in relationships; Effective communication to express oneself and positive exchanges with others, using both verbal and nonverbal skills; Cooperation and collaboration with others; Leadership skills (motivating others, teamwork, negotiation, decision making); Dealing with peer pressure (refusing to engage in unwanted, unsafe and unethical conduct); Constructive conflict resolution (achieving mutually satisfactory resolutions to conflict by addressing the needs of all concerned); Dealing with negative relationships such as bullying, harassment and violence; Seeking and providing help and support; Ethical and responsible behaviour and decision making (considering ethical standards, safety concerns, and respect for others, and the likely consequences of various courses of action when making decisions); Contributing to the wellbeing and flourishing of the community.",
"Social Skills (2), social competence, positive social skills, students use positive communication and social skills to interact effectively with others, Verbal Conduct, Peer Relationships, Friendship Skills, Social Boundaries, Peer Interactions, interact effectively with others, Personal Space and Boundaries","Clinical scales (Social Relationships), Frameworks (LEGO&#x27;s Skills for Holistic Development), Frameworks (MELQO MODEL Framework), Frameworks (IRC Social and Emotional Learning Competencies), Frameworks (K-12 SEL Standards (Anchorage)), Claude Opus 4.5 (Behavior), Clinical scales (Social Connections), GPT 5.2 Thinking (Interacting with Others), GPT 5.2 Thinking (Interacting with Others), Claude Opus 4.5 (Social Relationships), Frameworks (21st Century Learning), GPT 5.2 Thinking (Behavior Control and Regulation)","Interacting appropriately///Collaborate, communicate and understand other people’s perspectives through sharing ideas, negotiating rules and building empathy.///Social competence, or how well children develop and maintain relationships with peers and adults, is a construct that includes the ability to coexist and interact with others in a competent manner – essentially getting along with other children and adults, and being part of a social group. Social competence is an important developmental skill that children start learning from the moment they are born and which forms the foundation for a social human being.///The set of skills which allow us to relate to one another in a positive way, through understanding others’ feelings and behavior and responding in a way that promotes positive social interaction.///Full set of indicators in framework.///Appropriateness of spoken interactions///Getting along with same-age peers///forming and maintaining supportive relationships with peers///recognizing and respecting social limits and expectations///Quality of relationships with classmates///Know when it is appropriate to listen and when to speak; Conduct themselves in a respectable, professional manner///respecting physical space, privacy, and appropriate social boundaries","The student's use of appropriate social behaviors such as sharing, taking turns, conversation skills, and reading social cues.///////////////The degree to which a student's verbal behavior is respectful///The student's ability to form and maintain friendships, be accepted by peers, and navigate the social world of same-age children///Friendship skills include making connections, sustaining positive interactions, and repairing relationships when problems occur. In school, this may involve sharing interests, cooperating in play or group work, and showing loyalty and kindness. Challenges may show as difficulty making friends, frequent friendship conflict, or relationships that are unstable or one-sided.///Social boundaries involve understanding what is appropriate to say or do in different relationships and settings. This includes respecting privacy, avoiding overly personal questions, and recognizing when teasing, humor, or attention-seeking crosses a line. Difficulty may show as oversharing, intrusive questions, unwanted closeness, or challenges reading when others are uncomfortable.///The degree to which a student initiates//////Personal space and boundaries describe a student’s ability to keep appropriate distance, use appropriate touch, and respect others’ privacy and belongings. This includes voice volume, physical proximity, and knowing when humor or comments may cross a line. Challenges may be seen in frequent crowding, grabbing items, unwanted physical contact, or difficulty reading when others want space."
Speech Quality,FACETS (Expressive Communication),speaking understandably,"Speech is the production of sounds that are most often formed into words which can be linked to form sentences, paragraphs, descriptions, requests, stories, and much more. Using variations in rate, tone, rhythm, volume, clarity, word/sound selection, coordination with non-verbal communication, and other elements of sound production enhance the understandability of the intended communication. Flexible and adaptable speech offers greater possibility that the intended message will be received and properly interpreted by the listener."
Speech Quantity,FACETS (Expressive Communication),speaking with an appropriate number of words for communication,"Language is the full spectrum of communicative behaviors. It includes words, gestures, body posture, facial expression, and a myriad of other behaviors that have communicative intent. This item refers ONLY to spoken language - speech. There is enormous variation in speech quantity that is partly dependent on context (“Is this a time to be quiet or a time to offer to speak up?”) and also depends on the capability of the individual to speak about specific content (“Does the individual know anything about the present topic?” “Are they lacking confidence with respect to that content?”) Or, does the individual have the physical ability to produce speech at all. Thus, the quantity of speech may typically vary depending on context and content, however, individuals with problems related to speech quantity have difficulty regulating the amount of speaking in appropriate response to the context or content."
"Stress Management (2), Stress Responses (2), stress tolerance, skills for managing stress, stress resistance","FACETS (Emotional Expression), Frameworks (Building Blocks for Learning), Claude Opus 4.5 (Stress and Worry), Clinical scales (Worry and Stress), Frameworks (ACT Holistic Framework), Frameworks (WHO Skills for Health), Frameworks (OECD)","managing tension resulting from challenges or demands///Constantly changing cognitive and behavioral efforts to manage specific external and/or internal demands that are appraised as taxing or exceeding the resources of the person.///Reactions to demanding or pressured situations///Physical and emotional reactions to pressure///The degree to which a person can control feelings of anxiety and other negative emotions in order to function effectively in a range of situations///time management positive thinking relaxation techniques///Effectiveness in modulating anxiety and able to calmly solve problems (is relaxed, handles stress well).","Stress is a feeling of emotional or physical tension that is the body’s reaction to an internal or external challenge or demand. The internal factors can be thoughts, ideas, emotions, or even cognitive and emotional challenges. External factors may include leisure, work, or social demands. The response to stress can be both cognitive-emotional, as well as physiologic. Stress responses are adaptive when they are developmentally and behaviorally appropriate to the intensity, complexity, and duration of the demand or challenge.//////How the student responds to high-pressure situations such as tests, deadlines, or performance expectations, including whether reactions are proportionate and manageable.///How the student's body and mind respond to stressful situations, including physical tension, nervousness, and difficulty relaxing/////////"
"striving for accuracy and precision, thinking and communicating with clarity and precision","Frameworks (Habits of Mind), Frameworks (Habits of Mind)","Embodied in the stamina, grace and elegance of a ballerina or a shoemaker, is the desire for craftsmanship, mastery, flawlessness and economy of energy to produce exceptional results. People who value accuracy, precision and craftsmanship take time to check over their products. They review the rules by which they are to abide; they review the models and visions they are to follow; and they review the criteria they are to employ and confirm that their finish product matches the criteria exactly. To be craftsmanlike means knowing that one can continually perfect one's craft by working to attain the highest possible standards, and pursue ongoing learning in order to bring a laser like focus of energies to task accomplishment. These people take pride in their work and have a desire for accuracy as they take time to check over their work. Craftsmanship includes exactness, precision, accuracy, correctness, faithfulness, and fidelity. For some people, craftsmanship requires continuous reworking. Mario Cuomo, a great speechwriter and politician, once said that his speeches were never done—it was only a deadline that made him stop working on them!///Language refinement plays a critical role in enhancing a person’s cognitive maps, and their ability to think critically which is the knowledge base for efficacious action. Enriching the complexity and specificity of language simultaneously produces effective thinking. Language and thinking are closely entwined. Like either side of a coin, they are inseparable. When you hear fuzzy language, it is a reflection of fuzzy thinking. Intelligent people strive to communicate accurately in both written and oral form taking care to use precise language, defining terms, using correct names and universal labels and analogies. They strive to avoid overgeneralizations, deletions and distortions. Instead they support their statements with explanations, comparisons, quantification, and evidence.",///
Substance Use,FACETS (General Well-Being),using inappropriate substances including alcohol tobacco and cannabis,"Substance use is the consumption of chemicals that disrupt cognitive, behavioral, emotional, or other adaptive functioning. The most common substance use is alcohol and nicotine, but can also include a broad variety of substances, including the inappropriate use of prescribed medications. Persistent use of substances that leads to disruption in function is referred to as substance abuse. It is said that for some individuals, the recreational use of some substances may be acceptable, however, it is not clear who can safely use which substances. All evidence suggests that even the most benign of these medications and substances that are used inappropriately can have both short- and long-term disruptions in cognitive, behavioral, emotional, or other adaptive functioning, even modest doses, and may also be associated with significant general health complications. Addiction is a subset of substance abuse that is characterized by habitual, often uncontrollable use of substances, and a “withdrawal syndrome” when the substances are discontinued."
"Task Completion (3), Work Completion (2)","FACETS (Organization & Planning), Clinical scales (Attention and Focus), Claude Opus 4.5 (Attention and Focus), Claude Opus 4.5 (Academic Engagement), Clinical scales (Academic Engagement)",recognizing beginning structure and end of tasks///Following through on tasks///Following through on assignments///Following through on assignments///Following through on assignments,"It is typical to spontaneously take on tasks and willingly accept task assignments. Task completion is the ability to appreciate that all tasks have beginnings and ends, while also finding satisfaction in moving to and achieving a goal. Without fear, one recognizes that failure and/or inability to complete the task sometimes occurs. Managing failure and other disruptions is critical to consistent task completion, even in the face of potential disappointment.///The student's ability to complete assignments, activities, and multi-step instructions from start to finish.///The student's ability to complete assigned work within expected timeframes, including returning to tasks after interruptions.///The extent to which a student finishes assigned work accurately and submits it in a timely manner.///The extent to which a student finishes what they start, completes homework and classwork, and follows through on academic responsibilities"
"Task Initiation (2), Work Initiation","Gemini 3 Pro (Organization & Planning), Claude Opus 4.5 (Motivation and Engagement), GPT 5.2 Thinking (Academic Engagement)",beginning work promptly after instructions///Getting started on work independently///starting assigned tasks without excessive delay or repeated prompting,"Task initiation is the ability to begin a task or activity in a timely manner without undue procrastination or hesitation. It requires the student to overcome inertia, understand the starting point, and generate the necessary energy to commence work. Difficulties in this area often manifest as 'stalling' even when the student has the skills to do the work.///The student's tendency to begin assignments, activities, or responsibilities promptly without excessive prompting, avoidance, or delay.///Work initiation refers to how readily a student begins a task after it is assigned. Students with strong work initiation can transition from instructions to action, gather needed materials, and begin within a reasonable amount of time. Challenges may appear as prolonged hesitation, needing frequent prompts to start, or avoiding the first step even when the task is understood."
thinking and metacognition,Frameworks (ACT Holistic Framework),Mastering modes of thinking that apply to broad classes of problems,
"Thinking Before Acting, Impulse Control (2), managing impulsivity, Impulse Management","Clinical scales (Impulse Control), Clinical scales (Activity Level and Self-Control), Claude Opus 4.5 (Behavioral Self-Control), Frameworks (Habits of Mind), Claude Opus 4.5 (Behavioral Control)","Pausing to consider consequences///Thinking before acting or speaking///Thinking before acting///Effective problem solvers have a sense of deliberativeness: They think before they act. They intentionally form a vision of a product, plan of action, goal or a destination before they begin. They strive to clarify and understand directions, develop a strategy for approaching a problem and withhold immediate value judgments about an idea before fully understanding it. Reflective individuals consider alternatives and consequences of several possible directions prior to taking action. They decrease their need for trial and error by gathering information, taking time to reflect on an answer before giving it, making sure they understand directions, and listening to alternative points of view. Often students blurt the first answer that comes to mind. Sometimes they shout out an answer, start to work without fully understanding the directions, lack an organized plan or strategy for approaching a problem or make immediate value judgments about an idea—criticizing or praising it— before fully understanding it.///Thinking before acting","The tendency to stop and think before speaking or acting, rather than immediately responding to urges or reacting without reflection///The student's ability to pause, consider consequences, wait their turn, and regulate urges to act or speak without thinking///The student's ability to pause and consider consequences before acting, resist urges to engage in inappropriate behavior, and inhibit automatic responses when necessary.//////The student's ability to pause and consider consequences before acting, including waiting their turn and resisting immediate urges."
Thinking Speed,FACETS (Organization & Planning),adapting thinking speed to meet situational demands,"The pace of adaptive thinking varies to meet the demands of the task. Multiple factors contribute to the enormous variation in thinking speed as individuals process information, including attention, intellectual ability, interests, familiarity, and memory, as well as environment and practice. It is important to manage thinking speed in order to allocate flexible amounts of time to appropriately address varying problems and challenges. Thinking faster is not always helpful as it may lead to errors, whereas thinking slowly may lead to missed opportunities. Finding successful balance in regulating thinking speed is essential for successful adaptation."
Tics and Atypical Movements,FACETS (Motor Skills),adapting social and other behaviors in response to tics or atypical movements,"Tics (repetitive motor behaviors), as well as disruptions in motor rhythm and coordination fluidity constitute atypical movements. Atypical movements may include fine or gross motor activity, involve very rapid to very slow movements, and have varying size of movements. Tics may involve facial muscles (e.g., twitching), trunk and limb muscle movements (e.g., head and shoulder shrugging), as well vocal tics (i.e., respiratory and laryngeal muscle movements yielding either sounds or words.) Atypical movements often make affected individuals feel sad, embarrassed, frustrated, and anxious; they often become victims of mockery, shaming, and bullying."
Toileting Problems,FACETS (General Well-Being),managing toileting behaviors and routines,"Managing toileting and hygiene is a basic social and behavioral skill that is essential for successful adaptive function. It includes self-management of excretions, as well as cleaning oneself. Intrinsic to managing toileting and hygiene, is a personal understanding of one’s own daily rhythms and the extent to which one can control them, in the context of other environmental events (e.g., school/work, leisure, sleep, meals etc.). Therefore successful toileting and hygiene includes proper scheduling and the use of socially-appropriate behaviors to complete toileting and hygiene tasks."
