Framework,Term,Definition
The PRACTICE Model,problem solving,"Problem Solving includes a range of discrete skills related to how individuals solve social problems. These skills are associated with specific facets of Conscientiousness. Much of the developmental and intervention work on social problem solving29 has emphasized an array of interconnected social information-processing skills30 individuals use when solving social problems (e.g., joining a group, resolving conflicts). These include attention to relevant cues, interpretation of cues and emotional reactions, goal setting and planning, access to behavioral responses from memory, evaluation of responses, decision making, behavioral enactment, and reflection (Crick & Dodge, 1994). Through socialization, direct instruction, and cultural influences, individuals develop relatively stable patterns of processing social (and non-social) information."
The PRACTICE Model,resilience,"Resilience has been defined as the ability to “bounce back” from adversity and thrive in the context of risk. Resilience refers to a pattern over time that is characterized by good eventual adaptation despite risk, stressors, or adversity. It also is defined by the ability to appropriately and realistically connect future goals and opportunities to one’s own abilities, and to adapt as needed to situational constraints. Resilient individuals cope well with stressors and do not get derailed by stressful events but persist and remain optimistic. Although there are individual differences in stress tolerance, resilience generally is a learned process that is facilitated through positive and supportive interactions with the environment. Conscientiousness and low Neuroticism are two of the Big Five traits that align with resilience, along with Grit, but it is the expression of these traits under difficult circumstances that is the defining feature of resilience."
The PRACTICE Model,achievement motivation,"Achievement Motivation includes an orientation towards success, mastery, and sense of purpose. It has been associated with the capacity and drive to pursue difficult tasks, to work toward desired goals, and a high degree of independence. Individuals who are high in achievement motivation will demonstrate both a desire to learn and a focus on mastery as well as (or even more than) performance goals. They view learning skills and intelligence as an effortful, incremental process that can be improved rather than an inherited trait that is relatively stable over time. In terms of personality traits, it is most closely aligned with Conscientiousness and Openness to Experience as well as the construct of Grit."
The PRACTICE Model,control,"Control (self-control) includes a range of self-regulatory skills that are evident when individuals are able to modulate and restrain their impulses or immediate reactions to stimuli. Control skills such as the ability to effectively focus attention, delay gratification, and inhibit impulsive responding are crucial for early academic achievement and have been linked to later adjustment, educational, and occupational success. They also are important for problem solving, as they allow individuals to “stop and think” before acting and respond in a controlled rather than automatic fashion. Control is related to the concept of delay discounting in that low levels of impulse control are linked to higher levels of discounting future rewards. Self-control is an important skill complement to Conscientiousness."
The PRACTICE Model,teamwork,"Teamwork refers broadly to a set of skills involved in getting along with others, understanding their feelings and points of view, communicating effectively, being helpful and agreeable, and not engaging in aggressive or bullying behaviors. In the social-emotional domain it has been defined more regularly as “relationship skills” that enable individuals to get along with and work effectively with others, including people from diverse cultures. Teamwork is highest among individuals who score high on personality traits of Extraversion and Agreeableness."
The PRACTICE Model,initiative,"Initiative can be conceptualized as the “active ingredient” that motivates individuals to operate as positive and successful actors in their own lives and in systems. Initiative hinges on personal agency31 and an internal locus of control, a belief that outcomes depend on one’s own actions rather than fate, chance, or others. It is linked to enterprise, taking charge, follow-through, determination, and leadership. It also facilitates effective engagement within organizational contexts. Although initiative and achievement motivation are related, they are distinct skills. Initiative relates to any type of “take charge” action such as picking up litter on the street, whereas achievement motivation is linked to a desire to succeed and is associated with setting long-term academic and career goals and following this pursuit in spite of obstacles that may occur along the way. Initiative correlates with mastery orientation to achievement and relates to the personality traits of Openness to Experience and Conscientiousness."
The PRACTICE Model,confidence,"Confidence includes beliefs and feelings about one’s abilities generally and in specific contexts. These beliefs have been referred to as self-efficacy or efficacy beliefs. Confidence also includes a realistic self-concept and positive feelings towards the self, often labeled self-esteem or self- confidence. In adolescence, it is an important component of identity development based on a positive sense of self and one’s direction and future in the world. Self-relevant constructs have been linked to low levels of Neuroticism."
The PRACTICE Model,ethics,"Ethics are skills that are characterized by strength of character, social responsibility, and principled behavior. There is considerable debate as to whether there are universal ethical values or whether ethics are relativistic or dependent on cultural norms. Still, in terms of labor market outcomes, it is possible to identify specific and more universally-accepted and relevant skills linked to honesty, following rules, following through on actions, fairness, and acting in a responsible manner. Clearly, society and employers require trustworthy citizens who follow cultural rules and norms. For example, GED-earning adults contribute less to the economy than high-school graduates, a pattern that is not attributable to differences in academic competence. Instead, GED earners may be less proficient in adhering to ethical, context-suitable behavior, because they missed opportunities to acquire these skills from school social interactions (Heckman & Rubinstein, 2001). Skills related to ethics such as following rules are associated with the personality trait of Conscientiousness."
UNICEF India Comprehensive Life Skills Framework,self-awareness,"Accurately assessing one’s feelings, interests, values, strengths and weaknesses in the context one is living and thereby building self-identity"
UNICEF India Comprehensive Life Skills Framework,communication,"Ability to exchange information, express opinions, desires, needs and fears"
UNICEF India Comprehensive Life Skills Framework,resilience,"Ability to cope with stress and calamity and returning to previous level of stasis from some form of disruption, stress or change"
UNICEF India Comprehensive Life Skills Framework,decision making,Choosing an option/action from amongst a set of alternatives available
UNICEF India Comprehensive Life Skills Framework,negotiation,Ability to come to an agreement with others using logic and persuasion
UNICEF India Comprehensive Life Skills Framework,empathy,Ability to build positive relationship with others
UNICEF India Comprehensive Life Skills Framework,participation,"Ability to contribute actively to processes and situations, influencing decisions and activities"
UNICEF India Comprehensive Life Skills Framework,creativity,"Ability to generate, articulate and/apply inventive & original ideas, techniques and perspectives"
UNICEF India Comprehensive Life Skills Framework,critical thinking,Ability to appropriately/adequately analyse information in order to come to a judgement
UNICEF India Comprehensive Life Skills Framework,problem solving,"Ability to think through steps that lead from a given situation to a desired goal. Includes problem identification, understanding, identification of solutions"
UNICEF MENA Life Skills and Citizenship Education - Conceptual and Programmatic Framework,creativity,"Creativity, or being creative, is the ability to generate, articulate or apply inventive ideas, techniques and perspectives (Ferrari, 2009), often in a collaborative environment (Lucas and Hanson, 2016). In conjunction with critical thinking and problem-solving skills, to which it closely relates, creativity is a major component of purposeful thinking, i.e., a non-chaotic, orderly and organized thought process. Further, being creative is to a large extent connected to the learners’ cognitive abilities, including their analytic and evaluative skills (Sternberg, 2006). Ideational thought processes are fundamental to creative persons (Kozbelt et al., 2010), but creativity also intersects with social and personal management skills. Therefore, creativity, while also related to the arts, is a pre-condition to innovation and adaptive behaviours and solutions in all life settings, among them in learning settings and in the workplace (Partnership for 21st Century Learning, 2015). Creativity is linked to the effectiveness of other life skills, in particular critical thinking, problem identification (Sternberg, 2010), problem-solving (Torrance, 1977) and self-management."
UNICEF MENA Life Skills and Citizenship Education - Conceptual and Programmatic Framework,critical thinking,"Critical thinking, an instrumental life skill conducive to academic achievement, is a long-standing life skill, which allows ‘reflective thinking’: By thinking critically, children, youth and all individuals who learn to assess situations and assumptions, ask questions and develop various ways of thinking. Therefore, critical thinking involves higher-order executive functioning: This is a ‘meta-skill’ through which one learns to think about thinking and develop purposeful thinking processes, such as being able to discern and evaluate whether an argument makes sense or not."
UNICEF MENA Life Skills and Citizenship Education - Conceptual and Programmatic Framework,problem-solving,"A problem-solver has the ability to “think through steps that lead from a given state of affairs to a desired goal” (Barbey and Baralou, 2009). Another essential aspect of purposeful thinking, problem-solving is a high-order thinking process inter-related with other important life skills, such as critical thinking, analytical thinking, decision-making and creativity. More specifically, being able to solve problems implies a process of planning, i.e., the formulation of a method to attain the desired goal. Problem-solving begins with recognizing that a problematic situation exists and establishing an understanding of the nature of the situation. It requires the solver to identify the specific problem(s) to be solved, plan and carry out a solution, and monitor and evaluate progress throughout the activity (OECD, 2015)."
UNICEF MENA Life Skills and Citizenship Education - Conceptual and Programmatic Framework,cooperation,"Cooperation, i.e., for an individual being cooperative and acting cooperatively, is the act or process of working together to get something done or to achieve a common purpose that is mutually beneficial (Tyler 2011). It can involve teamwork and active collaboration, which is a form of cooperation and is often used as a synonym. Cooperation is central to many activities in the everyday world encountered by children, youth and all learners in school, at home, at work, in the community, and at national and regional levels. Because cooperation is useful for problem solving and forms the basis for healthy social relationships, it is a core life skill directly related to family, social and political conflict management and resolution in MENA."
UNICEF MENA Life Skills and Citizenship Education - Conceptual and Programmatic Framework,negotiation,"In its simplest form, negotiation can be defined as a process of communication between at least two parties aimed at reaching agreements on their “perceived divergent interests” (Pruitt, 1998). Therefore, while the core life skill ‘negotiation’ relates to a process, it translates into the ability of an individual to interactively and effectively partake in a negotiation process until its conclusion by and among others, respecting others while being assertive, being cooperative, using communication skills, showing leadership skills while being civil, saying no when one’s wellbeing is threatened, etc."
UNICEF MENA Life Skills and Citizenship Education - Conceptual and Programmatic Framework,decision-making,"Decision-making skills, or the ability to choose between two or more courses of action, relate to “one of the basic cognitive processes of human behaviour by which a preferred option, or a course of action, is chosen from among a set of alternatives based on certain criteria” (Wang, 2007). Decision-making is used by all individuals on a daily basis, as they are regularly faced with situations in which they have to make a judgement about how best to proceed, and also when it is most appropriate to do so. Notably, decision-making has consequences on all individuals’ wellbeing through the effects of the choices they make (WHO, 1997)."
UNICEF MENA Life Skills and Citizenship Education - Conceptual and Programmatic Framework,self-management,"A core life skill, highlighted first in its Individual Dimension towards personal empowerment, self-management, or both self-managing and being self-managed, is the individual ability to regulate and monitor one’s behaviours, emotions, feelings and impulses. Thus, it constitutes a broad category of related skills that includes self-control, self-efficacy and selfawareness, as well as positive attitude, reliability, self-presentation and is strongly linked with the core life skill of resilience. These have wide applicability in all domains of life, from personal relationships at home to peer-relationships at school, and have been identified as common employability skills applicable to a range of jobs (Blades et al., 2012)."
UNICEF MENA Life Skills and Citizenship Education - Conceptual and Programmatic Framework,resilience,"Consensus on the meaning of the term resilience has yet to emerge (UNESCO, 2015b), and that may be largely due to its recent broadened use, referring to contexts as varied in their intensity as coping with stress at work to the grave psychosocial impact of child abuse, extremism, violent conflict and displacement, in particular on children and youth. Because it is highly contextualized, ‘being resilient’ will have different levels of depth for the individual developing and/or displaying that core life skill, especially in MENA. In all cases, however, the life skill of resilience shall be understood, in general terms, as the constructive, personal ability to navigate changing circumstances successfully (American Psychological Association, 2010), thus beyond the restrictive understanding, according to which resilience is constrained to the capacity to survive, accept or resign oneself to an unacceptable situation."
UNICEF MENA Life Skills and Citizenship Education - Conceptual and Programmatic Framework,communication,"Communication, or being able to communicate, involves the sharing of meaning through the exchange of information and common understanding (Keyton, 2011; Lunenberg, 2010; Castells, 2009). It takes place in the context of social relationships (Schiller, 2007; Castells, 2009) between two or more individuals and is considered an interpersonal skill. While communication enables human interaction and participation in society, the prevalence of new technologies and social media, particularly among youth in MENA, indicates a strong human drive for social communication (Kuhl, 2011; Dennis et al., 2016)."
UNICEF MENA Life Skills and Citizenship Education - Conceptual and Programmatic Framework,respect for diversity,"In the context of the LSCE Initiative, ‘respect for diversity’ – or being respectful of diversity – is conceptualized as a key interpersonal life skill. It is based on the understanding developed by moral philosophers that acknowledges that human beings are equal participants in a common ethical world by virtue of their human status (Janoff-Bulmann et al., 2008). In this composite life skill, the concept of diversity means understanding that each individual is unique and recognizing each other’s individual differences. These can be defined along the dimensions of race, ethnicity, gender, sexual orientation, socio-economic status, age, physical abilities, religious beliefs, political beliefs, or other characteristics. Respect for diversity thus implies more than just tolerance, which is related to accepting differences passively, it means acknowledging and promoting the equal worth of peoples, without condescension (UNICEF, 2007b)."
UNICEF MENA Life Skills and Citizenship Education - Conceptual and Programmatic Framework,empathy,"Empathy, or being empathetic, is “the ability to comprehend another’s feelings and to re-experience them oneself” (Salovey and Mayer, 1990), while never being judgemental. A key construct in social and developmental psychology as well as in cognitive and social neuroscience, the ability to empathize is important for promoting positive behaviours toward others, and facilitating social interactions and relationships. Empathy is involved in the internalization of rules that can play a part in protecting others, and, it may be the mechanism that motivates the desire to help others, even at a cost to oneself. In addition, empathy plays an important role in becoming a socially competent person with meaningful social relationships (McDonald and Messinger, 2012). Consequently, empathy motivates altruistic behaviour and has the potential to enhance the process by which rights are realized, which is as important as an outcome (Jönsson and Hall, 2003)."
UNICEF MENA Life Skills and Citizenship Education - Conceptual and Programmatic Framework,participation,"In its most basic sense, participation or being participative, can be defined as partaking in, and influencing, processes, decisions and activities (adapted from UNICEF, 2001). Therefore, both a contextualized process as well as a core life skill, participation is an action of empowerment in relation to the individual and the community. Consequently, being participative, which is interlinked with to the core life skill of creativity, is the contrary to remaining passive at school, at work, and, above all, in society. More than being engaged, learners and individuals who are participative, especially in MENA, actively contribute to a democratic society, by the people, thus exercising their human rights."
USAID YouthPower Action Key Soft Skills for Cross-Sectoral Youth Outcomes,self-control,"Self-controlrefers to one’s ability to control and regulate oneself. This includes one’s ability to control impulses, delay gratification, direct and focus attention, and regulate and modulate emotions and behaviors. Self-control is highly supported by the literature as related to workforce outcomes. In the violence prevention and psychology literature, a distinction between two important aspects of self-control is emphasized: self-control of behavior, and self-control of emotion. Self-control is key for managing impulsivity that is linked with aggression and gang membership. Of all of the youth soft skills examined, self-control had the most support of all in the violence prevention literature across outcomes and types of literature. The association between both types of self-control and youth violence prevention was also highly supported in the expert consultations."
USAID YouthPower Action Key Soft Skills for Cross-Sectoral Youth Outcomes,positive self-concept,"Positive self-conceptrefers to “a realistic awareness of oneself and one’s abilities that reflects an understanding of his/her strengths and potential (and hence, is, positive)” (Lippman et al., 2015). In addition to being an important intrapersonal skill for workforce success, positive self-concept is supported by empirical evidence and experts in the field as an important skill for preventing different forms of youth violence. Positive self-concept enables youth to walk away from a fight, or successfully navigate challengingtasks and situations at work. Experts highlight that the effects of positive self-concept on violence prevention outcomes may operate through different mechanisms and may differ depending on the context."
USAID YouthPower Action Key Soft Skills for Cross-Sectoral Youth Outcomes,higher order thinking skills,"Higher order thinkingskills include problem solving, criticalthinking, and decision making. They refer to the “ability to identify an issue and take in information from multiple sources to evaluate options in order to reach a reasonable conclusion” (Lippman et al., 2015). Higher order thinkingis sought by employers and is critical for workforce success. Higher order thinking skills also garnered considerable support from the literature as important skills in the prevention of youth violence. Important higher order thinking skills for violence prevention often include accurately interpreting others’ behaviors and using non-aggressive problem solving strategies. When higher order thinking skills are included in studies, the findings are generally positive and consistent. However, research on discrete higher order thinking skills is not as prevalent as the research on self-control, social skills, and empathy."
USAID YouthPower Action Key Soft Skills for Cross-Sectoral Youth Outcomes,social skills,"Social skillsare related to getting along with others. Social skills allow youth to interact productively in social contexts and to respond to emotions or conflict in socially appropriate, non-aggressive ways. Social skills can be generally conceptualized as the ability to interact positively and pro-socially with others. Social skills predict workforce outcomes and are highly sought by employers. In the violence prevention literature, social skills are operationalized as including “interpersonal skills,” the ability to take prosocial approaches to conflicts, engaging positively with others, and the positive attribution of others’ intentions. The evidence for a link between youth’ssocial skills and violence prevention outcomesin the literature is strong and appears consistently across all categories of outcomes and contexts. Researchersand practitioners also endorsed social skills as essential for youth violence prevention."
USAID YouthPower Action Key Soft Skills for Cross-Sectoral Youth Outcomes,communication,"Communicationrefers to one’s ability to effectively express and understand knowledge and ideas. Modes of communication include listening, verbal, non-verbal, and written communication. Communication skills are related to workforce outcomes and are the most frequently sought skill among employers. Within the SRH literature, a distinction between twoaspects of communication is evident: communication with parents and communication with partners. Between partners, communication related to sexual behavior often takes the form of negotiating sexual initiation and use of contraception, including condoms. There isstrongevidence that communication skills are positively related to SRH outcomes."
USAID YouthPower Action Key Soft Skills for Cross-Sectoral Youth Outcomes,empathy,"Empathyrefers to “the affective and cognitive ability to feel and understand what someoneelse is feeling” (Lippman et al., 2014a).Some violence prevention literature distinguishes types of empathy, with “cognitive empathy” referring to one’s ability to cognitively take another’s perspective and identify their state of mind, while “affective empathy” refers to the ability to share in another’s emotional state (Caravita, di Blasio, andSalmivalli, 2008). Across the literature reviewed, there is more evidence linking affective empathy with violence prevention outcomes in youth than cognitive empathy."
USAID YouthPower Action Key Soft Skills for Cross-Sectoral Youth Outcomes,goal orientation,"Goal orientationis defined as the motivation and ability to make viable plans and take action toward desired goals (Lippman et al., 2014a). Goal orientation was conceptualized in the workforce and SRH literature as educational and career aspirations, expectations about one’s ability to achieve specific accomplishments in the future, goal setting and planning skills. Goal orientation is closely tied with positive self-concept, since it relates to individuals’ beliefs about their abilities to accomplish specific goals. Goal-orientation was supported by the literature as related to three of the SRH outcomes studied for youth and was endorsed by some experts."
USAID YouthPower Action Key Soft Skills for Cross-Sectoral Youth Outcomes,responsibility,"Responsibility is defined as “1) one’s ability to understand their role (in a particular context, i.e., home, school, workplace, relationship) and reliably accomplish tasks associated with this role ... and 2) one’s belief that their choices and actions can influence the events in their life and lead to positive outcomes” (Lippman et al., 2015, “Appendices,” p. 104). The violence prevention and SRH literatures emphasize the latter aspect."
USAID YouthPower Action Key Soft Skills for Cross-Sectoral Youth Outcomes,positive attitude,"A definition of positive attitude includes an emotional aspect in which a youth is happy and enthusiastic; a social aspect of encouraging others; and a cognitive aspect of valuing work or school with a positive outlook (Lippman et al., 2015, “Appendices,” p. 104)."
Vision of the Haitian Child in Society: Social Emotional Framework,self concept,"Personal Idenity (Categories (i.e. color, gender) traits, roles, existential) Historical identity and national pride (ethnicity, heritage, colonization and effects etc.) Healthy self-image Confidence, self-esteem, dignity, value Experiencing success (and avoiding false praise)"
Vision of the Haitian Child in Society: Social Emotional Framework,self-awareness,"Self-reflection (strengths, weakness, goals) Identity +/- influences or behaviors Role perception in social contexts (i.e.family, school, etc.) National and global identities"
Vision of the Haitian Child in Society: Social Emotional Framework,emotional understanding/regulation,Recognize and control emotions Tolerance versus flexibility Strong/djanm mentally
Vision of the Haitian Child in Society: Social Emotional Framework,collaboration/konbit,"Social Engagment Teamwork Compromise/conflict resolution Understand/navigate social norms Engage school, family, community supports"
Vision of the Haitian Child in Society: Social Emotional Framework,relationship skills,Relationship building Empathy Communication Listening Seek/offer help as appropriate
Vision of the Haitian Child in Society: Social Emotional Framework,acceptance,Appreciating diversity Perspective taking Respect
Vision of the Haitian Child in Society: Social Emotional Framework,critical thought,"Engendering curiosity & questions Analysis Using the Five Senses Descriptive Vocabulary Emphasizing process and not just the ""correct"" answer Problem Solving Making Decision"
Vision of the Haitian Child in Society: Social Emotional Framework,self-management,Emotional regulation Social engagement Planning Self-evaluation
Vision of the Haitian Child in Society: Social Emotional Framework,resilience/persistence,Task Persistence Flexible Thinking Hope in the future/Optimism Coping with adversity and stress
WHO Skills for Health,interpersonal communication skills,verbal/nonverbal communication active listening expressing feelings; giving feedback (without blaming) and receiving feedback
WHO Skills for Health,negotiation/refusal skills,negotiation and conflict management assertiveness skills refusal skills
WHO Skills for Health,empathy building,"ability to listen understand another’s needs and circumstances, and express that understanding"
WHO Skills for Health,cooperation and teamwork,expressing respect for others’ contributions and different styles assessing one’s own abilities and contributing to the group
WHO Skills for Health,advocacy skills,influencing skills and persuasion networking and motivation skills
WHO Skills for Health,decision-making / problem-solving skills,information-gathering skills evaluating future consequences of present actions for self and others-determining alternative solutions to problems analysis skills regarding the influence of values and of attitudes about self and others on motivation
WHO Skills for Health,critical thinking skills,"analysing peer and media influences analysing attitudes, values, social norms, beliefs, and factors affecting them identifying relevant information and sources of information"
WHO Skills for Health,"skills for increasing personal confidence and abilities to assume control, take responsibility, make a difference, or bring about change","building self-esteem / confidence creating self-awareness skills, including awareness of rights, influences, values, attitudes, rights, strengths, and weaknesses setting goals self-evaluation / self-assessment/ self-monitoring skills"
WHO Skills for Health,skills for managing feelings,"managing anger dealing with grief and anxiety coping with loss, abuse, and trauma"
WHO Skills for Health,skills for managing stress,time management positive thinking relaxation techniques
Young Adult Success,agency,"The ability to make choices about and take an active role in one's life path, rather than solely being the product of one's circumstances. Agency requires the intentionality and forethought to derive a course of action and adjust course as needed to reflect one's identity, competencies, knowledge and skills, mindsets, and values."
Young Adult Success,integrated identity,"A sense of internal consistency of who one is across time and across multiple social identities (e.g., race/ethnicity, profession, culture, gender, religion). An integrated identity serves as an internal framework for making choices and provides a stable base from which one can act in the world."
Young Adult Success,competence,"The abilities that enable people to effectively perform roles, complete complex tasks, or achieve specific objectives. Successful young adults have sets of competencies (e.g., critical thinking, responsible decision-making, ability to collaborate) that allow them to be productive and engaged, navigate across contexts, perform effectively in different settings, and adapt to different task and setting demands."
Young Adult Success,self-regulation,"The awareness of oneself and one’s surroundings, and the ability to manage one’s attention, emotions, and behaviors in goal-directed ways. Self-regulation has numerous forms, including cognitive, emotional, behavioral, and attentional regulation. Self-regulation is a key developmental task during early and middle childhood"
Young Adult Success,knowledge and skills,"Knowledge is the sets of facts, information, or understanding about oneself, others, and the world. Skills are the learned abilities to carry out a task with intended results or goals. Building academic knowledge and skills is a key developmental task during early and middle childhood, although it occurs through all stages of development."
Young Adult Success,mindsets,"Beliefs and attitudes about oneself, the external world, and the interaction between the two. They are the default lenses that individuals use to process everyday experiences. Mindsets reflect a person’s unconscious biases, natural tendencies, and past experiences. Though mindsets are malleable, they tend to persist until disrupted and replaced with a different belief or attitude."
Young Adult Success,values,"Enduring, often culturally defined beliefs about what is good or bad, and what is important in life. Values include both the moral code of conduct one uses in daily activities (e.g., being kind, being truthful) and long-term “outcomes” of importance (e.g., getting an education, having a family, contributing to the community) that may not necessarily have a right or wrong valence. Values develop through a process of exploration and experimentation, where young people make sense of their experiences and refine what they believe in. Values are a key developmental task during middle adolescence and young adulthood"
