irrelevant,misattributed FACETS,coarse FACETS item,granular FACETS item,not in FACETS,Subcategory,Max FACETS similarity,Source,Max non-FACETS similarity,Max FACETS similarity value,Max non-FACETS similarity value,Category,Brief Description,Description
1,,,,,search behaviors,Academic Motivation,Frameworks,Help-Seeking,0.388,0.519,ACT Holistic Framework,Self-initiated behaviors that pertain to seeking admittance to a particular education institution or employment at a particular work organization,
,,,,1,exercises leadership,Activity Level,Frameworks,governence and leadership,0.388,0.606,Employability Skills,Student participates as team leader or effective team member in project assignments and organizes work to meet project goals and team roles.,
,,,,,Compliance,Integrity and Honesty,FACETS,Following Rules,0.387,0.737,Behavior Control and Regulation,following rules and instructions adaptively,"Compliance is adherence to rules or directions, consistent with the setting or environment (e.g., school, work, home, etc.) in order to achieve goals and objectives."
,,,,,Integrity and Honesty,Compliance,FACETS,integrity,0.387,0.807,Sense of Self,recognizing and sharing truths and falsehoods with others,"Integrity is the commitment to being honest and principled in one’s approach to problem-solving, as well as in social interactions. There are two major failures in integrity: 1) Errors of commission - specifically being dishonest or representing an untruth; and, 2) Errors of omission - specifically withholding important information required for a fair and balanced approach to a specific circumstance or situation."
,1,,1,,dependability,Integrity and Honesty,Frameworks,responsibility,0.387,0.715,ACT Holistic Framework,"Reliably fulfilling responsibilities, meeting deadlines, and producing quality work",
,1,,1,,family and community,Play,Frameworks,respect and understanding,0.387,0.744,Sesame Workshop Global Framework for Learning,"Recognition and respect of diversity and unity in families and communities. Children developing an awareness of family and community learn to: Recognize that there are different types of families. Children come to identify and appreciate their own family. They learn to respect the families of others, even when those families do not look or behave like their own. Families can vary by number of people, gender, roles, responsibilities, appearances, etc. Understand that different families live in different types of homes. Children learn that not all families live in homes like their own. Families can live in different places (urban, rural, etc.) and in different types of buildings (apartments/flats, houses, huts, etc.). Recognize that people in the community have different jobs. Children learn and appreciate that different people contribute to their community by doing different types of work (e.g., police officer, teacher, shop owner, bus driver, sanitation worker, doctor, etc.). Identify and respect different community institutions, organizations, and cultural establishments. Children become familiar with different community institutions (e.g., libraries, schools, religious center, etc.), organizations, and establishments and they show respect for the people and cultures associated with them.",
,,,,,Eating,Social Communication,FACETS,cooperation,0.386,0.383,General Well-Being,maintaining dietary intake and nutrition,"Eating is a complex behavior that has both nutritional and social components. The nutritional component is the appropriate consumption of both calories (for energy) and the elements of the diet (protein, vitamins, minerals, fats, carbohydrates, etc.) necessary for maintaining healthy function. There are two main social components of eating: the social interactions associated with the preparation and consumption of food, and the cultural elements associated with menus, dining schedules, and food consumption (e.g., Kosher, Hallal, vegan/vegetarian, etc.) Food preparation and dining are often social experiences that reflect culture and other expectations for cooperation and sharing of both food and conversation, as well as engagement in a variety of behaviors directly associated with eating, such as use of specific utensils (chopsticks, fork, spoon, hands, etc.), cleanliness, order, and the nature of physical presence (e.g., sitting in a chair, standing, walking, sitting cross-legged on the floor, use of a particular hand, etc.) Appropriate participation in all elements of eating are important for health and happiness."
,1,,1,,negotiation skills,Learning Strategies,Frameworks,negotiation,0.386,0.86,Kenya TVET Values and Life Skills (VaLI) Framework,Students are able to engage in a discussion with different parties with the aim of reaching an agreement that is suitable for all the involved parties. It’s a process of communication between two parties aimed at reaching agreements on their “perceived divergent interests ”.,
,1,,1,,Peer Acceptance,Social Engagement,GPT 5.2 Thinking,Peer Inclusion,0.386,0.743,School Belonging and Connectedness,feeling accepted and valued by classmates and peers,"Peer acceptance refers to the extent to which a student feels liked, included, and respected by peers. It can influence participation, confidence, and emotional comfort at school. Low peer acceptance may show as social isolation, frequent rejection experiences, or strong concern about peers’ opinions that interferes with learning."
,,,,1,reflective,Creativity,Frameworks,reflection,0.385,0.708,IB Learner Profile,We thoughtfully consider the world and our own ideas and experience. We work to understand our strengths and weaknesses in order to support our learning and personal development,
,1,,1,1,Adult Interactions,Sexual/Gender Identity and Behavior,Claude Opus 4.5,Adult Relationships,0.384,0.91,Social Functioning,Quality of relationships with teachers and staff,"How the student relates to authority figures and adult school personnel, including showing appropriate respect, seeking help when needed, and responding to guidance."
,,,,,Sleep Disturbance,Morning Routine,FACETS,Sleep-Related Concerns,0.384,0.631,General Well-Being,evidence of inadequate duration or quality of sleep including drowsiness and persistent lack of energy,"While the precise function of sleep is unknown, sleep appears to be a physiological state in which the brain rests and resets some of its functions. While the brain is engaged in sleep, the remainder of the human body also gets a chance to rest and recover from the physical exertion of the previous day. Sleep may also play a restorative role for physiologic, cognitive, and emotional functioning and wellbeing. Sleep has discrete stages, one of which allows for dreaming. Typically, individuals sleep varying amounts of time, ranging from 4-10 hours, usually, but not necessarily occurring at night. Daytime napping may also be a healthy component of sleep. One goal for sleep is to gain adequate amounts of rest to support ongoing activities during the waking hours. Pre-bedtime and bedtime routines are commonly associated with sleep, and may include social activities (e.g., story telling, prayers, reading, etc.). Sleep difficulties include either inadequate or excessive amounts of sleep, as well as excessive and inappropriate daytime drowsiness."
1,,,,,use systems thinking,Abstract Thinking,Frameworks,understanding interdependent systems,0.384,0.691,21st Century Learning,Analyze how parts of a whole interact with each other to produce overall outcomes in complex systems,
,,,,1,be flexible,Tolerance,Frameworks,flexibility,0.384,0.724,21st Century Learning,"Incorporate feedback effectively; Deal positively with praise, setbacks and criticism; Understand, negotiate and balance diverse views and beliefs to reach workable solutions, particularly in multi-cultural environments",
,1,,1,,trust,Integrity and Honesty,Frameworks,goodwill,0.384,0.761,OECD,Assuming that others generally have good intentions and forgiving those who have done wrong.,
,,,1,,Peer Relationships,Social Cooperation,Claude Opus 4.5,Peer Relationships,0.383,0.976,Social Functioning,Connections with same-age classmates,"The quality and nature of the student's interactions and relationships with classmates, including friendships, acceptance, and social standing."
,,1,,,produce results,Task Completion,Frameworks,dependability,0.383,0.575,21st Century Learning,"Demonstrate additional attributes associated with producing high quality products including the abilities to: Work positively and ethically, Manage time and projects effectively, Multi-task, Participate actively, as well as be reliable and punctual, Present oneself professionally and with proper etiquette, Collaborate and cooperate effectively with teams, Respect and appreciate team diversity, Be accountable for results",
,,,,1,child demonstrates flexibility in thinking and behavior,Planning and Organization,Frameworks,child expresses creativity in thinking and communication,0.383,0.744,Head Start,Child demonstrates flexibility in thinking and behavior,
,,,,1,energy,Activity Level,Frameworks,zest,0.383,0.687,OECD,"Approaching daily life with energy, excitement and spontaneity.",
,1,,1,,advocacy skills,Learning Strategies,Frameworks,decision-making / problem-solving skills,0.383,0.631,WHO Skills for Health,influencing skills and persuasion networking and motivation skills,
,,,1,,Respect for Property,Compliance,GPT 5.2 Thinking,Respect for Property,0.383,0.943,Interpersonal Conduct,caring for classroom materials and others’ belongings,"Respect for property reflects how a student treats shared spaces and materials, as well as peers’ belongings. It includes handling items carefully, returning materials, and cleaning up appropriately. Difficulty may be seen in careless handling, damaging items, taking others’ belongings without permission, or leaving messes that affect the group."
,1,,1,,roles,Responsibility for Self & Others,Frameworks,responsibility,0.382,0.505,ACT Holistic Framework,Understanding and managing identified life roles,
,1,,,1,Response to Feedback,Emotion Regulation/Reactivity,GPT 5.2 Thinking,Response to Redirection,0.382,0.745,Academic Engagement,using feedback or correction to adjust work and approach,"Response to feedback describes how a student reacts to guidance, correction, and suggestions for improvement. A helpful response includes listening, asking clarifying questions, trying again, and making adjustments over time. Difficulty may show as shutting down, arguing, becoming embarrassed, or ignoring feedback, even when it is delivered supportively."
,1,,1,1,Conflict Resolution,Assertiveness,GPT 5.2 Thinking,Conflict Resolution,0.382,0.949,Interacting with Others,working through disagreements safely and respectfully,"Conflict resolution reflects how a student handles disagreements with peers or adults. Strong skills include using words to describe the problem, listening to others, negotiating, and seeking adult help when needed. Difficulty may be seen in escalation, retaliation, refusal to compromise, or difficulty letting go of minor conflicts."
,1,,1,,Handling Disagreements,Tolerance,GPT 5.2 Thinking,Conflict Resolution,0.382,0.774,Interpersonal Conduct,staying respectful during disagreements and accepting different opinions,"Handling disagreements describes how a student maintains respect when opinions differ. It includes using a calm tone, disagreeing without personal attacks, and tolerating that others may think differently. Difficulty may show as personal insults, refusal to engage, sarcasm aimed at peers, or escalating debates into conflict."
,,,1,,Following Directions,Compliance,GPT 5.2 Thinking,Following Directions,0.382,0.898,Receptive Communication,understanding and carrying out spoken or written directions,"Following directions refers to understanding what is being asked and carrying it out accurately. This may include listening, remembering key steps, and asking clarifying questions. Difficulty may show as starting the wrong task, missing steps, needing repeated directions, or appearing noncompliant when the core issue is misunderstanding."
,,,,1,helpfulness,Empathy,Frameworks,Helpfulness,0.381,0.826,ACT Holistic Framework,Helping others and being generous with his or her time and/or resources despite personal cost,
,1,,1,1,child uses basic problem-solving skills to resolve conflicts with other children,Learning Strategies,Frameworks,child engages in and maintains positive relationships and interactions with adults,0.381,0.724,Head Start,Child uses basic problem-solving skills to resolve conflicts with other children,
,,,1,,respect,Tolerance,Frameworks,respect,0.381,0.76,Kenya TVET Values and Life Skills (VaLI) Framework,"Students are able to have positive regard towards self and others without prejudice; treating others in an appropriate way. The person exhibits a level of open-mindedness and willingness to understand and appreciate others. Respect should go hand in hand with humility, patience, acceptance and etiquette",
,,,,1,critical thinking,Creativity,Frameworks,critical thinking,0.381,0.812,Room to Read Life Skills Education Learning Outcomes,Girls can ask questions about a concept or subject to gain better understanding. Girls can demonstrate how to think critically about a complex concept or new subject. Girls can critically analyze concepts and subject matter and share their perspective on it.,
1,,,,,expectations,Academic Motivation,Frameworks,optimism,0.38,0.54,ACT Holistic Framework,"Anticipatory beliefs about the causes or consequences of education- or work-related decisions and actions (e.g., ability to positively influence one’s own occupation choice, belief that going to college will result in more job options later)",
,,,,1,caring,Empathy,Frameworks,integrity,0.378,0.729,Developmental Assets (ages 12-18),Young person places high value on helping other people.,
,,,,1,works independently,Planning and Organization,Frameworks,work independently,0.378,0.726,Employability Skills,Student commits to time-on-task during class and begins work without fanfare.,
,,,,1,Adult Relationships,Attachment,Claude Opus 4.5,Adult Interactions,0.377,0.91,Social Functioning,Interactions with teachers and staff,"How the student relates to and interacts with teachers, administrators, and other school personnel, including trust, respect, and comfort."
1,,,,,experience,Play,Frameworks,openness to experience,0.376,0.583,ACT Holistic Framework,"Activities, paid or unpaid, in which the individual gains knowledge, skills, and attitudes that are relevant to education or work",
1,,,,,values,Sexual/Gender Identity and Behavior,Frameworks,Self-Worth,0.376,0.568,Young Adult Success,"Enduring, often culturally defined beliefs about what is good or bad, and what is important in life. Values include both the moral code of conduct one uses in daily activities (e.g., being kind, being truthful) and long-term “outcomes” of importance (e.g., getting an education, having a family, contributing to the community) that may not necessarily have a right or wrong valence. Values develop through a process of exploration and experimentation, where young people make sense of their experiences and refine what they believe in. Values are a key developmental task during middle adolescence and young adulthood",
1,,,,,exploring one’s potential for effecting positive change in community and world,Responsibility for Self & Others,Frameworks,engaging in communal and global solutions,0.375,0.548,"Social, Emotional, and Ethical (SEE) Learning Framework","Recognize one's own potential to effect positive change based on one's abilities and opportunity, individually or collaboratively",
,,,1,,implement innovations,Creativity,Frameworks,implementation,0.374,0.624,21st Century Learning,Act on creative ideas to make a tangible and useful contribution to the field in which the innovation will occur,
1,,,,,zest,Creativity,Frameworks,zest,0.373,0.837,KIPP,Enthusiastic and energetic participation in life,
1,,,,,responding with wonderment and awe,Thinking Speed,Frameworks,learning continuously,0.372,0.606,Habits of Mind,"Describing the 200 best and brightest of the All USA College Academic Team identified by USA Today, Tracey Wong Briggs (1999) states, “They are creative thinkers who have a passion for what they do.” Efficacious people have not only an ""I CAN"" attitude, but also an ""I ENJOY"" feeling. They seek problems to solve for themselves and to submit to others. They delight in making up problems to solve on their own and request enigmas from others. They enjoy figuring things out by themselves, and continue to learn throughout their lifetimes. We want our students, however to be curious; to commune with the world around them; to reflect on the changing formations of a cloud; feel charmed by the opening of a bud; sense the logical simplicity of mathematical order. Students can find beauty in a sunset, intrigue in the geometric of a spider web, and exhilaration at the iridescence of a hummingbird's wings. They see the congruity and intricacies in the derivation of a mathematical formula, recognize the orderliness and adroitness of a chemical change, and commune with the serenity of a distant constellation. We want them feel compelled, enthusiastic and passionate about learning, inquiring and mastering.",
,,,1,,appreciating and cultivating kindness and compassion,Empathy,Frameworks,appreciating and cultivating other ethical dispositions,0.372,0.647,"Social, Emotional, and Ethical (SEE) Learning Framework",Value the benefits of kindness and compassion and cultivate them as a disposition,
,,,1,,appreciating the fundamental equality of all,Empathy,Frameworks,appreciating diversity and difference,0.372,0.684,"Social, Emotional, and Ethical (SEE) Learning Framework","Extend the realization of fundamental equality and common humanity to those outside one’s immediate community and ultimately to the world, recognizing those things that we all share in common as human beings, such as our aspiration for happiness and well- being and to avoid suffering",
,1,,1,,positive attitude,Assertiveness,Frameworks,optimism,0.372,0.637,USAID YouthPower Action Key Soft Skills for Cross-Sectoral Youth Outcomes,"A definition of positive attitude includes an emotional aspect in which a youth is happy and enthusiastic; a social aspect of encouraging others; and a cognitive aspect of valuing work or school with a positive outlook (Lippman et al., 2015, “Appendices,” p. 104).",
1,,,,,lifelong learning,Learning Strategies,Frameworks,learning to learn,0.371,0.574,ACT Holistic Framework,Extent to which an individual engages in ongoing behaviors to develop competence by acquiring new skills and knowledge and mastering new situations,
1,,,,,questioning and positing problems,Abstract Thinking,Frameworks,critical thinking and problem solving,0.371,0.636,Habits of Mind,"One of the distinguishing characteristics between humans and other forms of life is our inclination, and ability to FIND problems to solve. Effective problem solvers know how to ask questions to fill in the gaps between what they know and what they don't know. Effective questioners are inclined to ask a range of questions. For example: requests for data to support others' conclusions and assumptions—such questions as, ""What evidence do you have.....?"" ""How do you know that's true?"" ""How reliable is this data source?"" They pose questions about alternative points of view: ""From whose viewpoint are we seeing, reading of hearing?"" ""From what angle, what perspective are we viewing this situation?"" Students pose questions, which make causal connections and relationships: ""How are these people (events) (situations) related to each other?"" ""What produced this connection?"" They pose hypothetical problems characterized by ""iffy""-type questions: ""What do you think would happen IF.....?"" ""IF that is true, then what might happen if....?""",
,,,1,,Peer Relationships,Social Cooperation,Claude Opus 4.5,Peer Relationships,0.37,0.976,Social Functioning,Quality of connections with same-age classmates,"The student's ability to form and maintain positive relationships with peers, including having friends, being accepted by classmates, and engaging in reciprocal social interactions."
,,,1,,growth mindset,Self-Confidence,Frameworks,Growth Mindset,0.37,0.95,Building Blocks for Learning,Wherein students ascribe to the belief: my ability and competence grow with my effort.,
,,,1,,national and cultural identity,Self-Image,Frameworks,civic identity,0.37,0.623,Singapore Framework for 21CC and Student Outcomes,"A person with a national and cultural identity, (1) possesses a sense of responsibility to the nation; and (2) has a shared commitment to the ideals of the nation and its culture",
,1,,1,1,peaceful conflict resolution,Bullying,Frameworks,Conflict Resolution,0.369,0.704,Developmental Assets (ages 12-18),Young person seeks to resolve conflict nonviolently.,
1,,,,,manages personnel,Planning and Organization,Frameworks,manages resources,0.369,0.733,Employability Skills,"Student gains experience managing personnel (i.e. each other) in group projects requiring allocation of limited finances, resources (materials), and role assignments. They also manage their own behavior and participation.",
1,,,,,global awareness,Empathy,Frameworks,awareness,0.368,0.659,Singapore Framework for 21CC and Student Outcomes,"A person with global awareness: (1) copes with change due to cultural interactions abroad; and (2) recognises, analyses and evaluates global trends and their interconnections with local communities",
,,,1,,Managing Deadlines,Planning and Organization,GPT 5.2 Thinking,Time Awareness,0.368,0.594,Organization & Planning,keeping track of due dates and pacing work to finish on time,"Managing deadlines reflects how well a student tracks due dates, plans backward, and paces effort over time. It includes remembering upcoming responsibilities and distributing work rather than waiting until the last moment. Difficulty may be seen in frequent late work, surprise at due dates, or rushing at the end because time was not managed across days."
,,,,1,Classroom Comfort,Self-Confidence,GPT 5.2 Thinking,Social Comfort,0.368,0.743,School Belonging and Connectedness,feeling comfortable participating and being oneself in class,"Classroom comfort reflects how safe and comfortable a student feels engaging in class activities, sharing ideas, and making mistakes in front of others. High comfort supports participation and learning risk-taking. Low comfort may show as reluctance to speak, fear of embarrassment, or avoidance of activities that draw attention, even when the student understands the material."
,1,,1,,child engages in and maintains positive interactions and relationships with other children,Play,Frameworks,child engages in and maintains positive relationships and interactions with adults,0.367,0.934,Head Start,Child engages in and maintains positive interactions and relationships with other children,
,,,1,,Fatigue Indicators,Sleep Disturbance,Claude Opus 4.5,Sadness Indicators,0.366,0.572,Physical Well-Being,Signs of tiredness,"Observable signs that the student is tired, sleepy, or lacking the physical or mental energy needed to engage in school activities."
,,,1,,civic identity,Self-Image,Frameworks,national and cultural identity,0.366,0.623,Building Blocks for Learning,A multifaceted and dynamic notion of the self as belonging to and responsible for a community or communities.,
,1,,1,1,negotiates to resolve conflict,Assertiveness,Frameworks,Conflict Resolution,0.366,0.69,Employability Skills,"Student keeps team members on track, suggests alternatives, and discusses options (can be as much about agreement as conflict).",
1,,,,,finding humor,Play,Frameworks,Sense of Humor,0.366,0.703,Habits of Mind,"Another unique attribute of human beings is our sense of humor. Laughter transcends all human beings. Its’ positive effects on psychological functions include a drop in the pulse rate, the secretion of endorphins, an increased oxygen in the blood. It has been found to liberate creativity and provoke such higher level thinking skills as anticipation, finding novel relationships, visual imagery, and making analogies. People who engage in the mystery of humor have the ability to perceive situations from an original and often interesting vantagepoint. They tend to initiate humor more often, to place greater value on having a sense of humor, to appreciate and understand others' humor and to be verbally playful when interacting with others. Having a whimsical frame of mind, they thrive on finding incongruity and perceiving absurdities, ironies and satire; finding discontinuities and being able to laugh at situations and themselves. Some students find humor in all the ""wrong places""--human differences, ineptitude, injurious behavior, vulgarity, violence and profanity. They laugh at others yet are unable to laugh at themselves. We want our student to acquire the characteristic of creative problem solvers, they can distinguish between situations of human frailty and fallibility which are in need of compassion and those which are truly funny. (Dyer, 1997).",
,1,,1,,child demonstrates an increasing ability to control impulses,Planning and Organization,Frameworks,child demonstrates initiative and independence,0.366,0.75,Head Start,Child demonstrates an increasing ability to control impulses,
,1,,1,,Personal Space and Boundaries,Transitions,GPT 5.2 Thinking,Social Boundaries,0.366,0.684,Behavior Control and Regulation,"respecting physical space, privacy, and appropriate social boundaries","Personal space and boundaries describe a student’s ability to keep appropriate distance, use appropriate touch, and respect others’ privacy and belongings. This includes voice volume, physical proximity, and knowing when humor or comments may cross a line. Challenges may be seen in frequent crowding, grabbing items, unwanted physical contact, or difficulty reading when others want space."
,,,1,,work effectively in diverse teams,Tolerance,Frameworks,collaborate with others,0.365,0.651,21st Century Learning,Respect cultural differences and work effectively with people from a range of social and cultural backgrounds; Respond open-mindedly to different ideas and values; Leverage social and cultural differences to create new ideas and increase both innovation and quality of work,
1,,,,,understanding interdependent systems,Reading,Frameworks,use systems thinking,0.365,0.691,"Social, Emotional, and Ethical (SEE) Learning Framework","Understand interdependence and the properties of systems, such as through exploring chains of cause and effect",
1,,,,,Body Awareness,Gross Motor Skills,GPT 5.2 Thinking,attending to our body and sensations,0.364,0.577,Motor Skills,awareness of body position and movement in shared spaces,"Body awareness is the ability to sense where one’s body is in space and to move safely and efficiently around others and objects. It affects coordination, personal space, and safety during transitions and play. Difficulty may show as bumping into others, knocking things over, standing too close, or using more force than intended."
,,,,,Attachment,Emotion Regulation/Reactivity,FACETS,attachment,0.363,0.868,Interacting with Others,having attachments to family peers and adults,"Attachment is the strong, bilateral, emotional connection between humans (and other animals). Initially, this connection is with the individual’s primary caregivers, but it rapidly expands to include others important to the life of the individual. In humans, attachments usually begin in the first days of life, becoming more socially, emotionally, and behaviorally complex over time."
,,,,1,leadership,Self-Control,Frameworks,governence and leadership,0.363,0.634,Hilton & Pellegrino Clusters of 21st Century Competencies,"Leadership, responsibility, assertive communication, self- presentation, social influence with others",
1,,,,,zest,Creativity,Frameworks,zest,0.362,0.837,Character Lab,Zest—also referred to as vitality—is an approach to life that is filled with excitement and energy.,
1,,,,,improves systems,Learning Strategies,Frameworks,understands and uses systems,0.362,0.699,Employability Skills,"Student negotiates mid-course corrections, adaptations to team (system) tasks if necessary.",
,1,,1,,students demonstrate an awareness of cultural issues and a respect for human dignity and differences,Sexual/Gender Identity and Behavior,Frameworks,students demonstrate consideration for others and a desire to positively contribute to their community,0.361,0.667,K-12 SEL Standards (Anchorage),Full set of indicators in framework.,
,1,,1,1,Conflict Resolution,Anger Management,Gemini 3 Pro,Conflict Resolution,0.361,0.889,Interacting with Others,resolving disagreements peacefully,"Conflict resolution is the process of resolving a dispute or a conflict by meeting at least some of each side's needs and addressing their interests. It involves using communication skills, negotiation, and compromise to settle arguments with peers without resorting to aggression or needing constant adult intervention."
,,,1,,Sadness Indicators,Emotion Regulation/Reactivity,Claude Opus 4.5,Sadness and Low Mood,0.36,0.826,Mood and Outlook,Signs of low mood or unhappiness,"Observable behaviors or expressed statements suggesting the student is experiencing persistent unhappiness, hopelessness, or low spirits."
1,,,,,apply technology effectively,Screen Time,Frameworks,use and manage information,0.36,0.653,21st Century Learning,"Use technology as a tool to research, organize, evaluate and communicate information; Use digital technologies (computers, PDAs, media players, GPS, etc.), communication/networking tools and social networks appropriately to access, manage, integrate, evaluate and create information to successfully function in a knowledge economy; Apply a fundamental understanding of the ethical/legal issues surrounding the access and use of information technologies",
1,,,,,extraversion,Empathy,Frameworks,curiosity,0.36,0.461,Big Five Personality Traits,an orientation of one's interests and energies toward the outer world of people and things rather than the inner world of subjective experience; characterized by positive affect and sociability,
,,,1,,Sadness,Emotion Regulation/Reactivity,Claude Opus 4.5,Sadness,0.359,0.943,Mood,Presence of low or depressed mood,The degree to which a student displays low spirits
,,,,1,science,Mathematics,Frameworks,scientific principles/procedures,0.359,0.557,ACT Holistic Framework,"Gathering and interpreting observations, experimental data, and disciplinary content knowledge in order to predict and explain phenomena",
,,1,,,symbolic representation,Reading,Frameworks,pretend or symbolic play,0.359,0.616,K-3 SEL Standards (Connecticut),Full set of indicators in framework.,
1,,,,,individuals within a systems context,Self-Image,Frameworks,understands and uses systems,0.359,0.581,"Social, Emotional, and Ethical (SEE) Learning Framework",Recognize how oneself and others exist within a systems context and affect and are affected by that context,
1,,,,,gratitiude,Empathy,Frameworks,gratitiude,0.358,0.898,Character Lab,"Gratitude is the appreciation for the benefits we receive from others, and the desire to reciprocate.",
1,,,,,locates,Learning Strategies,Frameworks,analyzes,0.358,0.639,Employability Skills,Student uses analytical strategies to determine the best medium for finding necessary information.,
,1,,1,,relationship management,Anger Management,Frameworks,relationship skills,0.358,0.661,Singapore Framework for 21CC and Student Outcomes,A person who manages relationships well is able to establish and maintain healthy relationships through effective communication and is able to work with others to resolve conflicts.,
,,,,1,guide and lead others,Social Communication,Frameworks,leadership,0.357,0.543,21st Century Learning,Use interpersonal and problem-solving skills to influence and guide others toward a goal; Leverage strengths of others to accomplish a common goal; Inspire others to reach their very best via example and selflessness; Demonstrate integrity and ethical behavior in using influence and power,
1,,,,,understands and uses technology,Screen Time,Frameworks,understands and uses systems,0.357,0.871,Employability Skills,Student understands their roles and assignments when collaborating as a team (system) and contributes to the organizational structure and function of the team.,
1,,,,,balanced,Tolerance,Frameworks,balancing the body,0.357,0.651,IB Learner Profile,"We understand the importance of balancing different aspects of our lives—intellectual, physical, and emotional—to achieve well-being for ourselves and others. We recognize our interdependence with other people and with the world in which we live.",
,,,,1,decision-making,Planning and Organization,Frameworks,decision making,0.357,0.71,Room to Read Life Skills Education Learning Outcomes,Girls understand the steps in decision-making and goal-setting and have developed skills of independence and initiative in making choices. Girls make short- and long-term goals for their schooling and future careers by examining issues and ideas from various perspectives. Girls analyze and discuss decisions points and give examples of steps they follow and why they make a specific decision or goal.,
1,,,,,technical skills,Reading,Frameworks,technology and information literacy,0.356,0.613,Pratham Life Skills Framework,"digitial literacy: computation, navigation, exploring infomration, documentation financial management",
,1,,1,1,conflict resolution skills,Assertiveness,Frameworks,Conflict Resolution,0.355,0.782,IRC Social and Emotional Learning Competencies,The set of skills which helps us address problems and conflicts between individuals in a positive manner as they arise.,
,,,1,,child persists in tasks,Perseverance,Frameworks,child holds information in mind and manipulates it to perform tasks,0.354,0.535,Head Start,Child persists in tasks,
,,,,,Mathematics,Reading,FACETS,mathematics,0.353,0.799,Academic Skills and School Functioning,cognitively and mechanically performing arithmetic operations,"Math, or arithmetic, is the ability to manage numerical and/or quantitative ideas, both conceptually and in graphical representations. Mathematical skills evolve over time, beginning using numbers for the concrete counting of objects, evolving into the appreciation that numbers can representing various constructs such as quantity, time, space, etc. Success with math can be confounded by writing difficulty as “imprecise” presentation of numbers leads to errors."
,,,,,Sexual/Gender Identity and Behavior,Play,FACETS,Peer Relationships,0.352,0.45,Sense of Self,expressing age-appropriate sexual identity and behavior,"Sexual behavior includes behaviors that are related to an individual's particular individual “sexual identity.” While there are generally male and female biological differences amongst humans, there exists a broad spectrum of gender-related behaviors that are “assigned” or “learned,” based on cultural and social expectations in a community, not infrequently independent of “sex assigned at birth.” Some behaviors appear to be “assigned,” and are often considered “conventional.” When there are variations that don’t meet social expectations, it can cause discomfort - for children, peers, and/or adults - and can lead to adverse outcomes like bullying, discrimination and social isolation. Examples of these are so-called “effeminate” males or “masculine” females. Most “unconventional” gender behaviors are not abnormal but simply represent the broad variation in expressions of identity."
,1,,1,,students develop constructive relationships,Assertiveness,Frameworks,"students demonstrate the ability to prevent, manage, and resolve interpersonal conflicts in constructive ways",0.351,0.801,K-12 SEL Standards (Anchorage),Full set of indicators in framework.,
,,,,1,makes sound decisions,Thinking Speed,Frameworks,thinks critically,0.35,0.685,Employability Skills,Student differentiates between multiple approaches and assess options (could be linked to thinking critically).,
,1,,1,,Peer Relationships,Social Communication,Gemini 3 Pro,Peer Relationships,0.35,0.963,Interacting with Others,quality of connections with classmates,"Peer relationships refer to the general quality and stability of a student's social connections with classmates. This includes the ability to make friends, maintain friendships over time, and feel a sense of belonging within the peer group. Positive peer relationships are crucial for social support and school connectedness."
,1,,1,,understands and uses systems,Reading,Frameworks,understands and uses technology,0.348,0.871,Employability Skills,Student understands their roles and assignments when collaborating as a team (system) and contributes to the organizational structure and function of the team.,
1,,,,,responds to customer needs,Social Communication,Frameworks,understands teamwork and works with others,0.347,0.671,Employability Skills,"Student helps fellow students understand tasks, finds resources, and fulfills assigned roles (thinks of fellow students as customers).",
1,,,,,applying information to new experiences,Transitions,Frameworks,self-awareness,0.347,0.579,K-3 SEL Standards (Connecticut),Full set of indicators in framework.,
,,,1,,peace,Tolerance,Frameworks,love,0.347,0.749,Kenya TVET Values and Life Skills (VaLI) Framework,"Students are able to be in a state of tranquility and harmony with oneself and among people. This can be modelled by creating an atmosphere of love, respect, tolerance, justice and solidarity",
1,,,,,analyze media,Screen Time,Frameworks,create media products,0.345,0.52,21st Century Learning,"Understand both how and why media messages are constructed, and for what purposes; Examine how individuals interpret messages differently, how values and points of view are included or excluded, and how media can influence beliefs and behaviors; Apply a fundamental understanding of the ethical/legal issues surrounding the access and use of media",
1,,,,,manages resources,Stress Management,Frameworks,manages personnel,0.345,0.733,Employability Skills,"Student manages resources in projects requiring allocation of limited finances, resources (materials), and personnel.",
,1,,1,,relationship building,Social Communication,Frameworks,social relationships,0.345,0.675,Room to Read Life Skills Education Learning Outcomes,Girls understand the importance of making friends with peers in their school and community. Girls are able to maintain healthy relationships with peers and friends. Girls have long-term peer relationships including significant friendships with other girls.,
1,,,,,Material Management,Academic Motivation,Claude Opus 4.5,Material Management,0.341,0.994,Organization and Planning,Keeping track of belongings,"The student's ability to organize, locate, and maintain their school supplies, assignments, and personal belongings."
,,,,,Future Outlook,Worries/Anxiety/Fears,FACETS,positive view of personal future,0.341,0.603,Disposition,having thoughts and feelings about the future,"Future outlook is the ability and willingness to flexibly think about and imagine the future, and adaptively anticipate what is to come in the near-and-short-term. A perspective on the future is usually accompanied by an attitude about what opportunities, threats, and goals lie ahead, an attitude that can shape actions and preparations related to potential future events."
1,,,,,monitors systems,Social Communication,Frameworks,improves systems,0.341,0.692,Employability Skills,Student devises methods to assess team (system) progress.,
