"Source","Category","Subcategory","Brief Description","Description","Max FACETS similarity value","Max FACETS similarity","Max non-FACETS similarity value","Max non-FACETS similarity","Redundant FACETS","Redundant non-FACETS"
"Frameworks","UNICEF India Comprehensive Life Skills Framework","participation","Ability to contribute actively to processes and situations, influencing decisions and activities","","0.547","Social Engagement","0.83","Participation","Yes","Yes"
"Frameworks","UNICEF India Comprehensive Life Skills Framework","creativity","Ability to generate, articulate and/apply inventive & original ideas, techniques and perspectives","","0.869","Creativity","0.935","creativity","Yes","Yes"
"Frameworks","UNICEF India Comprehensive Life Skills Framework","critical thinking","Ability to appropriately/adequately analyse information in order to come to a judgement","","0.478","Thinking Speed","0.803","critical thinking/independence","Yes","Yes"
"Frameworks","UNICEF India Comprehensive Life Skills Framework","problem solving","Ability to think through steps that lead from a given situation to a desired goal. Includes problem identification, understanding, identification of solutions","","0.549","Creativity","0.916","Problem Solving","Yes","Yes"
"Frameworks","UNICEF MENA Life Skills and Citizenship Education - Conceptual and Programmatic Framework","creativity","Creativity, or being creative, is the ability to generate, articulate or apply inventive ideas, techniques and perspectives (Ferrari, 2009), often in a collaborative environment (Lucas and Hanson, 2016). In conjunction with critical thinking and problem-solving skills, to which it closely relates, creativity is a major component of purposeful thinking, i.e., a non-chaotic, orderly and organized thought process. Further, being creative is to a large extent connected to the learners’ cognitive abilities, including their analytic and evaluative skills (Sternberg, 2006). Ideational thought processes are fundamental to creative persons (Kozbelt et al., 2010), but creativity also intersects with social and personal management skills. Therefore, creativity, while also related to the arts, is a pre-condition to innovation and adaptive behaviours and solutions in all life settings, among them in learning settings and in the workplace (Partnership for 21st Century Learning, 2015). Creativity is linked to the effectiveness of other life skills, in particular critical thinking, problem identification (Sternberg, 2010), problem-solving (Torrance, 1977) and self-management.","","0.803","Creativity","0.813","creativity","Yes","Yes"
"Frameworks","UNICEF MENA Life Skills and Citizenship Education - Conceptual and Programmatic Framework","critical thinking","Critical thinking, an instrumental life skill conducive to academic achievement, is a long-standing life skill, which allows ‘reflective thinking’: By thinking critically, children, youth and all individuals who learn to assess situations and assumptions, ask questions and develop various ways of thinking. Therefore, critical thinking involves higher-order executive functioning: This is a ‘meta-skill’ through which one learns to think about thinking and develop purposeful thinking processes, such as being able to discern and evaluate whether an argument makes sense or not.","","0.512","Thinking Speed","0.888","critical thinking","Yes","Yes"
"Frameworks","UNICEF MENA Life Skills and Citizenship Education - Conceptual and Programmatic Framework","problem-solving","A problem-solver has the ability to “think through steps that lead from a given state of affairs to a desired goal” (Barbey and Baralou, 2009). Another essential aspect of purposeful thinking, problem-solving is a high-order thinking process inter-related with other important life skills, such as critical thinking, analytical thinking, decision-making and creativity. More specifically, being able to solve problems implies a process of planning, i.e., the formulation of a method to attain the desired goal. Problem-solving begins with recognizing that a problematic situation exists and establishing an understanding of the nature of the situation. It requires the solver to identify the specific problem(s) to be solved, plan and carry out a solution, and monitor and evaluate progress throughout the activity (OECD, 2015).","","0.513","Creativity","0.836","Problem-Solving","Yes","Yes"
"Frameworks","UNICEF MENA Life Skills and Citizenship Education - Conceptual and Programmatic Framework","cooperation","Cooperation, i.e., for an individual being cooperative and acting cooperatively, is the act or process of working together to get something done or to achieve a common purpose that is mutually beneficial (Tyler 2011). It can involve teamwork and active collaboration, which is a form of cooperation and is often used as a synonym. Cooperation is central to many activities in the everyday world encountered by children, youth and all learners in school, at home, at work, in the community, and at national and regional levels. Because cooperation is useful for problem solving and forms the basis for healthy social relationships, it is a core life skill directly related to family, social and political conflict management and resolution in MENA.","","0.82","Social Cooperation","0.881","Cooperation","Yes","Yes"
"Frameworks","UNICEF MENA Life Skills and Citizenship Education - Conceptual and Programmatic Framework","negotiation","In its simplest form, negotiation can be defined as a process of communication between at least two parties aimed at reaching agreements on their “perceived divergent interests” (Pruitt, 1998). Therefore, while the core life skill ‘negotiation’ relates to a process, it translates into the ability of an individual to interactively and effectively partake in a negotiation process until its conclusion by and among others, respecting others while being assertive, being cooperative, using communication skills, showing leadership skills while being civil, saying no when one’s wellbeing is threatened, etc.","","0.407","Social Communication","0.86","negotiation skills","Yes","Yes"
"Frameworks","UNICEF MENA Life Skills and Citizenship Education - Conceptual and Programmatic Framework","decision-making","Decision-making skills, or the ability to choose between two or more courses of action, relate to “one of the basic cognitive processes of human behaviour by which a preferred option, or a course of action, is chosen from among a set of alternatives based on certain criteria” (Wang, 2007). Decision-making is used by all individuals on a daily basis, as they are regularly faced with situations in which they have to make a judgement about how best to proceed, and also when it is most appropriate to do so. Notably, decision-making has consequences on all individuals’ wellbeing through the effects of the choices they make (WHO, 1997).","","0.436","Risk Taking","0.829","decision making","Yes","Yes"
"Frameworks","UNICEF MENA Life Skills and Citizenship Education - Conceptual and Programmatic Framework","self-management","A core life skill, highlighted first in its Individual Dimension towards personal empowerment, self-management, or both self-managing and being self-managed, is the individual ability to regulate and monitor one’s behaviours, emotions, feelings and impulses. Thus, it constitutes a broad category of related skills that includes self-control, self-efficacy and selfawareness, as well as positive attitude, reliability, self-presentation and is strongly linked with the core life skill of resilience. These have wide applicability in all domains of life, from personal relationships at home to peer-relationships at school, and have been identified as common employability skills applicable to a range of jobs (Blades et al., 2012).","","0.631","Self-Control","0.832","self-management","Yes","Yes"
"Frameworks","UNICEF MENA Life Skills and Citizenship Education - Conceptual and Programmatic Framework","resilience","Consensus on the meaning of the term resilience has yet to emerge (UNESCO, 2015b), and that may be largely due to its recent broadened use, referring to contexts as varied in their intensity as coping with stress at work to the grave psychosocial impact of child abuse, extremism, violent conflict and displacement, in particular on children and youth. Because it is highly contextualized, ‘being resilient’ will have different levels of depth for the individual developing and/or displaying that core life skill, especially in MENA. In all cases, however, the life skill of resilience shall be understood, in general terms, as the constructive, personal ability to navigate changing circumstances successfully (American Psychological Association, 2010), thus beyond the restrictive understanding, according to which resilience is constrained to the capacity to survive, accept or resign oneself to an unacceptable situation.","","0.451","Perseverance","0.803","resilience","Yes","Yes"
"Frameworks","UNICEF MENA Life Skills and Citizenship Education - Conceptual and Programmatic Framework","communication","Communication, or being able to communicate, involves the sharing of meaning through the exchange of information and common understanding (Keyton, 2011; Lunenberg, 2010; Castells, 2009). It takes place in the context of social relationships (Schiller, 2007; Castells, 2009) between two or more individuals and is considered an interpersonal skill. While communication enables human interaction and participation in society, the prevalence of new technologies and social media, particularly among youth in MENA, indicates a strong human drive for social communication (Kuhl, 2011; Dennis et al., 2016).","","0.757","Social Communication","0.82","communication","Yes","Yes"
"Frameworks","UNICEF MENA Life Skills and Citizenship Education - Conceptual and Programmatic Framework","respect for diversity","In the context of the LSCE Initiative, ‘respect for diversity’ – or being respectful of diversity – is conceptualized as a key interpersonal life skill. It is based on the understanding developed by moral philosophers that acknowledges that human beings are equal participants in a common ethical world by virtue of their human status (Janoff-Bulmann et al., 2008). In this composite life skill, the concept of diversity means understanding that each individual is unique and recognizing each other’s individual differences. These can be defined along the dimensions of race, ethnicity, gender, sexual orientation, socio-economic status, age, physical abilities, religious beliefs, political beliefs, or other characteristics. Respect for diversity thus implies more than just tolerance, which is related to accepting differences passively, it means acknowledging and promoting the equal worth of peoples, without condescension (UNICEF, 2007b).","","0.49","Tolerance","0.722","appreciating diversity and difference","Yes","Yes"
"Frameworks","UNICEF MENA Life Skills and Citizenship Education - Conceptual and Programmatic Framework","empathy","Empathy, or being empathetic, is “the ability to comprehend another’s feelings and to re-experience them oneself” (Salovey and Mayer, 1990), while never being judgemental. A key construct in social and developmental psychology as well as in cognitive and social neuroscience, the ability to empathize is important for promoting positive behaviours toward others, and facilitating social interactions and relationships. Empathy is involved in the internalization of rules that can play a part in protecting others, and, it may be the mechanism that motivates the desire to help others, even at a cost to oneself. In addition, empathy plays an important role in becoming a socially competent person with meaningful social relationships (McDonald and Messinger, 2012). Consequently, empathy motivates altruistic behaviour and has the potential to enhance the process by which rights are realized, which is as important as an outcome (Jönsson and Hall, 2003).","","0.845","Empathy","0.854","empathy","Yes","Yes"
"Frameworks","UNICEF MENA Life Skills and Citizenship Education - Conceptual and Programmatic Framework","participation","In its most basic sense, participation or being participative, can be defined as partaking in, and influencing, processes, decisions and activities (adapted from UNICEF, 2001). Therefore, both a contextualized process as well as a core life skill, participation is an action of empowerment in relation to the individual and the community. Consequently, being participative, which is interlinked with to the core life skill of creativity, is the contrary to remaining passive at school, at work, and, above all, in society. More than being engaged, learners and individuals who are participative, especially in MENA, actively contribute to a democratic society, by the people, thus exercising their human rights.","","0.454","Social Engagement","0.802","participation","Yes","Yes"
"Frameworks","USAID YouthPower Action Key Soft Skills for Cross-Sectoral Youth Outcomes","self-control","Self-controlrefers to one’s ability to control and regulate oneself. This includes one’s ability to control impulses, delay gratification, direct and focus attention, and regulate and modulate emotions and behaviors. Self-control is highly supported by the literature as related to workforce outcomes. In the violence prevention and psychology literature, a distinction between two important aspects of self-control is emphasized: self-control of behavior, and self-control of emotion. Self-control is key for managing impulsivity that is linked with aggression and gang membership. Of all of the youth soft skills examined, self-control had the most support of all in the violence prevention literature across outcomes and types of literature. The association between both types of self-control and youth violence prevention was also highly supported in the expert consultations.","","0.717","Self-Control","0.695","control","Yes","Yes"
"Frameworks","USAID YouthPower Action Key Soft Skills for Cross-Sectoral Youth Outcomes","positive self-concept","Positive self-conceptrefers to “a realistic awareness of oneself and one’s abilities that reflects an understanding of his/her strengths and potential (and hence, is, positive)” (Lippman et al., 2015). In addition to being an important intrapersonal skill for workforce success, positive self-concept is supported by empirical evidence and experts in the field as an important skill for preventing different forms of youth violence. Positive self-concept enables youth to walk away from a fight, or successfully navigate challengingtasks and situations at work. Experts highlight that the effects of positive self-concept on violence prevention outcomes may operate through different mechanisms and may differ depending on the context.","","0.539","Self-Image","0.645","self-control","Yes","Yes"
"Frameworks","USAID YouthPower Action Key Soft Skills for Cross-Sectoral Youth Outcomes","higher order thinking skills","Higher order thinkingskills include problem solving, criticalthinking, and decision making. They refer to the “ability to identify an issue and take in information from multiple sources to evaluate options in order to reach a reasonable conclusion” (Lippman et al., 2015). Higher order thinkingis sought by employers and is critical for workforce success. Higher order thinking skills also garnered considerable support from the literature as important skills in the prevention of youth violence. Important higher order thinking skills for violence prevention often include accurately interpreting others’ behaviors and using non-aggressive problem solving strategies. When higher order thinking skills are included in studies, the findings are generally positive and consistent. However, research on discrete higher order thinking skills is not as prevalent as the research on self-control, social skills, and empathy.","","0.458","Thinking Speed","0.628","decision-making / problem-solving skills","Yes","Yes"
"Frameworks","USAID YouthPower Action Key Soft Skills for Cross-Sectoral Youth Outcomes","social skills","Social skillsare related to getting along with others. Social skills allow youth to interact productively in social contexts and to respond to emotions or conflict in socially appropriate, non-aggressive ways. Social skills can be generally conceptualized as the ability to interact positively and pro-socially with others. Social skills predict workforce outcomes and are highly sought by employers. In the violence prevention literature, social skills are operationalized as including “interpersonal skills,” the ability to take prosocial approaches to conflicts, engaging positively with others, and the positive attribution of others’ intentions. The evidence for a link between youth’ssocial skills and violence prevention outcomesin the literature is strong and appears consistently across all categories of outcomes and contexts. Researchersand practitioners also endorsed social skills as essential for youth violence prevention.","","0.514","Social Communication","0.737","Social Skills","Yes","Yes"
"Frameworks","USAID YouthPower Action Key Soft Skills for Cross-Sectoral Youth Outcomes","communication","Communicationrefers to one’s ability to effectively express and understand knowledge and ideas. Modes of communication include listening, verbal, non-verbal, and written communication. Communication skills are related to workforce outcomes and are the most frequently sought skill among employers. Within the SRH literature, a distinction between twoaspects of communication is evident: communication with parents and communication with partners. Between partners, communication related to sexual behavior often takes the form of negotiating sexual initiation and use of contraception, including condoms. There isstrongevidence that communication skills are positively related to SRH outcomes.","","0.584","Social Communication","0.751","communication","Yes","Yes"
"Frameworks","USAID YouthPower Action Key Soft Skills for Cross-Sectoral Youth Outcomes","empathy","Empathyrefers to “the affective and cognitive ability to feel and understand what someoneelse is feeling” (Lippman et al., 2014a).Some violence prevention literature distinguishes types of empathy, with “cognitive empathy” referring to one’s ability to cognitively take another’s perspective and identify their state of mind, while “affective empathy” refers to the ability to share in another’s emotional state (Caravita, di Blasio, andSalmivalli, 2008). Across the literature reviewed, there is more evidence linking affective empathy with violence prevention outcomes in youth than cognitive empathy.","","0.744","Empathy","0.822","empathy","Yes","Yes"
"Frameworks","USAID YouthPower Action Key Soft Skills for Cross-Sectoral Youth Outcomes","goal orientation","Goal orientationis defined as the motivation and ability to make viable plans and take action toward desired goals (Lippman et al., 2014a). Goal orientation was conceptualized in the workforce and SRH literature as educational and career aspirations, expectations about one’s ability to achieve specific accomplishments in the future, goal setting and planning skills. Goal orientation is closely tied with positive self-concept, since it relates to individuals’ beliefs about their abilities to accomplish specific goals. Goal-orientation was supported by the literature as related to three of the SRH outcomes studied for youth and was endorsed by some experts.","","0.531","Academic Motivation","0.68","achievement orientation","Yes","Yes"
"Frameworks","USAID YouthPower Action Key Soft Skills for Cross-Sectoral Youth Outcomes","responsibility","Responsibility is defined as “1) one’s ability to understand their role (in a particular context, i.e., home, school, workplace, relationship) and reliably accomplish tasks associated with this role ... and 2) one’s belief that their choices and actions can influence the events in their life and lead to positive outcomes” (Lippman et al., 2015, “Appendices,” p. 104). The violence prevention and SRH literatures emphasize the latter aspect.","","0.724","Responsibility for Self & Others","0.818","responsibility","Yes","Yes"
"Frameworks","USAID YouthPower Action Key Soft Skills for Cross-Sectoral Youth Outcomes","positive attitude","A definition of positive attitude includes an emotional aspect in which a youth is happy and enthusiastic; a social aspect of encouraging others; and a cognitive aspect of valuing work or school with a positive outlook (Lippman et al., 2015, “Appendices,” p. 104).","","0.372","Assertiveness","0.637","optimism","Yes","Yes"
"Frameworks","Vision of the Haitian Child in Society: Social Emotional Framework","self concept","Personal Idenity (Categories (i.e. color, gender) traits, roles, existential) Historical identity and national pride (ethnicity, heritage, colonization and effects etc.) Healthy self-image Confidence, self-esteem, dignity, value Experiencing success (and avoiding false praise)","","0.646","Self-Image","0.776","self-awareness","Yes","Yes"
"Frameworks","Vision of the Haitian Child in Society: Social Emotional Framework","self-awareness","Self-reflection (strengths, weakness, goals) Identity +/- influences or behaviors Role perception in social contexts (i.e.family, school, etc.) National and global identities","","0.682","Self-Image","0.776","self concept","Yes","Yes"
"Frameworks","Vision of the Haitian Child in Society: Social Emotional Framework","emotional understanding/regulation","Recognize and control emotions Tolerance versus flexibility Strong/djanm mentally","","0.678","Emotion Regulation/Reactivity","0.757","emotion management","Yes","Yes"
"Frameworks","Vision of the Haitian Child in Society: Social Emotional Framework","collaboration/konbit","Social Engagment Teamwork Compromise/conflict resolution Understand/navigate social norms Engage school, family, community supports","","0.51","Social Cooperation","0.686","Cooperation","Yes","Yes"
"Frameworks","Vision of the Haitian Child in Society: Social Emotional Framework","relationship skills","Relationship building Empathy Communication Listening Seek/offer help as appropriate","","0.396","Social Communication","0.756","relationship skills","Yes","Yes"
"Frameworks","Vision of the Haitian Child in Society: Social Emotional Framework","acceptance","Appreciating diversity Perspective taking Respect","","0.536","Tolerance","0.724","appreciating diversity and difference","Yes","Yes"
"Frameworks","Vision of the Haitian Child in Society: Social Emotional Framework","critical thought","Engendering curiosity & questions Analysis Using the Five Senses Descriptive Vocabulary Emphasizing process and not just the ""correct"" answer Problem Solving Making Decision","","0.463","Creativity","0.753","critical thinking","Yes","Yes"
"Frameworks","Vision of the Haitian Child in Society: Social Emotional Framework","self-management","Emotional regulation Social engagement Planning Self-evaluation","","0.555","Self-Control","0.789","self management","Yes","Yes"
"Frameworks","Vision of the Haitian Child in Society: Social Emotional Framework","resilience/persistence","Task Persistence Flexible Thinking Hope in the future/Optimism Coping with adversity and stress","","0.626","Perseverance","0.783","persistence","Yes","Yes"
"Frameworks","WHO Skills for Health","interpersonal communication skills","verbal/nonverbal communication active listening expressing feelings; giving feedback (without blaming) and receiving feedback","","0.525","Social Communication","0.829","interpersonal skills","Yes","Yes"
"Frameworks","WHO Skills for Health","negotiation/refusal skills","negotiation and conflict management assertiveness skills refusal skills","","0.468","Assertiveness","0.748","negotiation skills","Yes","Yes"
"Frameworks","WHO Skills for Health","empathy building","ability to listen understand another’s needs and circumstances, and express that understanding","","0.8","Empathy","0.824","empathy","Yes","Yes"
"Frameworks","WHO Skills for Health","cooperation and teamwork","expressing respect for others’ contributions and different styles assessing one’s own abilities and contributing to the group","","0.736","Social Cooperation","0.872","Cooperation","Yes","Yes"
"Frameworks","WHO Skills for Health","advocacy skills","influencing skills and persuasion networking and motivation skills","","0.383","Learning Strategies","0.631","decision-making / problem-solving skills","Yes","Yes"
"Frameworks","WHO Skills for Health","decision-making / problem-solving skills","information-gathering skills evaluating future consequences of present actions for self and others-determining alternative solutions to problems analysis skills regarding the influence of values and of attitudes about self and others on motivation","","0.464","Learning Strategies","0.741","problem solving","Yes","Yes"
"Frameworks","WHO Skills for Health","critical thinking skills","analysing peer and media influences analysing attitudes, values, social norms, beliefs, and factors affecting them identifying relevant information and sources of information","","0.432","Thinking Speed","0.861","critical thinking","Yes","Yes"
"Frameworks","WHO Skills for Health","skills for increasing personal confidence and abilities to assume control, take responsibility, make a difference, or bring about change","building self-esteem / confidence creating self-awareness skills, including awareness of rights, influences, values, attitudes, rights, strengths, and weaknesses setting goals self-evaluation / self-assessment/ self-monitoring skills","","0.512","Self-Confidence","0.72","decision-making / problem-solving skills","Yes","Yes"
"Frameworks","WHO Skills for Health","skills for managing feelings","managing anger dealing with grief and anxiety coping with loss, abuse, and trauma","","0.519","Emotion Regulation/Reactivity","0.689","emotional skills","Yes","Yes"
"Frameworks","WHO Skills for Health","skills for managing stress","time management positive thinking relaxation techniques","","0.6","Stress Management","0.691","self management","Yes","Yes"
"Frameworks","Young Adult Success","agency","The ability to make choices about and take an active role in one's life path, rather than solely being the product of one's circumstances. Agency requires the intentionality and forethought to derive a course of action and adjust course as needed to reflect one's identity, competencies, knowledge and skills, mindsets, and values.","","0.478","Responsibility for Self & Others","0.791","Sense of Agency","Yes","Yes"
"Frameworks","Young Adult Success","integrated identity","A sense of internal consistency of who one is across time and across multiple social identities (e.g., race/ethnicity, profession, culture, gender, religion). An integrated identity serves as an internal framework for making choices and provides a stable base from which one can act in the world.","","0.457","Self-Image","0.619","civic identity","Yes","Yes"
"Frameworks","Young Adult Success","competence","The abilities that enable people to effectively perform roles, complete complex tasks, or achieve specific objectives. Successful young adults have sets of competencies (e.g., critical thinking, responsible decision-making, ability to collaborate) that allow them to be productive and engaged, navigate across contexts, perform effectively in different settings, and adapt to different task and setting demands.","","0.441","Fine Motor Skills","0.845","competence","Yes","Yes"
"Frameworks","Young Adult Success","self-regulation","The awareness of oneself and one’s surroundings, and the ability to manage one’s attention, emotions, and behaviors in goal-directed ways. Self-regulation has numerous forms, including cognitive, emotional, behavioral, and attentional regulation. Self-regulation is a key developmental task during early and middle childhood","","0.785","Self-Control","0.898","self-regulation","Yes","Yes"
"Frameworks","Young Adult Success","knowledge and skills","Knowledge is the sets of facts, information, or understanding about oneself, others, and the world. Skills are the learned abilities to carry out a task with intended results or goals. Building academic knowledge and skills is a key developmental task during early and middle childhood, although it occurs through all stages of development.","","0.456","Learning Strategies","0.598","education and work knowledge","Yes","Yes"
"Frameworks","Young Adult Success","mindsets","Beliefs and attitudes about oneself, the external world, and the interaction between the two. They are the default lenses that individuals use to process everyday experiences. Mindsets reflect a person’s unconscious biases, natural tendencies, and past experiences. Though mindsets are malleable, they tend to persist until disrupted and replaced with a different belief or attitude.","","0.424","Habits/Routines","0.628","growth mindset","Yes","Yes"
"Frameworks","Young Adult Success","values","Enduring, often culturally defined beliefs about what is good or bad, and what is important in life. Values include both the moral code of conduct one uses in daily activities (e.g., being kind, being truthful) and long-term “outcomes” of importance (e.g., getting an education, having a family, contributing to the community) that may not necessarily have a right or wrong valence. Values develop through a process of exploration and experimentation, where young people make sense of their experiences and refine what they believe in. Values are a key developmental task during middle adolescence and young adulthood","","0.376","Sexual/Gender Identity and Behavior","0.568","Self-Worth","Yes","Yes"
"Gemini 3 Pro","Behavior Control and Regulation","Adaptability","adjusting to changes in routine or expectations","Adaptability refers to a student's capacity to adjust their behavior, thoughts, and emotions in response to changing, new, or unexpected situations. It involves flexibility in shifting from one task to another, handling changes in rules or schedules without excessive distress, and modifying strategies when a current approach is not working. High adaptability supports resilience and smooth functioning in the dynamic classroom environment.","0.447","Thinking Speed","0.934","Adaptability","Yes","Yes"
"Gemini 3 Pro","Organization & Planning","Task Initiation","beginning work promptly after instructions","Task initiation is the ability to begin a task or activity in a timely manner without undue procrastination or hesitation. It requires the student to overcome inertia, understand the starting point, and generate the necessary energy to commence work. Difficulties in this area often manifest as 'stalling' even when the student has the skills to do the work.","0.531","Task Completion","0.966","Task Initiation","Yes","Yes"
"Gemini 3 Pro","Organization & Planning","Self-Monitoring","checking own work and behavior","Self-monitoring is the executive function skill of observing and evaluating one's own performance and behavior. It involves 'checking in' with oneself to see if the current actions are aligning with the goal (e.g., checking math problems for errors, noticing if one is talking too loudly). Effective self-monitoring allows for self-correction and improved accuracy and social appropriateness.","0.581","Self-Control","0.898","Self-Monitoring","Yes","Yes"
"Gemini 3 Pro","Organization & Planning","Time Management","allocating time effectively to tasks","Time management involves the ability to estimate how much time a task will take, allocate time effectively, and stay within time limits. It encompasses pacing oneself during tests, finishing assignments by deadlines, and balancing multiple responsibilities. Good time management helps reduce stress and ensures that work is completed.","0.516","Screen Time","0.798","manages time","Yes","Yes"
"Gemini 3 Pro","Interacting with Others","Conflict Resolution","resolving disagreements peacefully","Conflict resolution is the process of resolving a dispute or a conflict by meeting at least some of each side's needs and addressing their interests. It involves using communication skills, negotiation, and compromise to settle arguments with peers without resorting to aggression or needing constant adult intervention.","0.361","Anger Management","0.889","Conflict Resolution","Yes","Yes"
"Gemini 3 Pro","Interacting with Others","Collaboration","working effectively with others","Collaboration is the action of working with one or more people to produce or create something. In a school setting, this involves contributing ideas to a group, listening to others, sharing responsibilities, and working towards a shared goal. It requires a balance of leadership and followership skills.","0.578","Social Cooperation","0.756","communication and collaboration","Yes","Yes"
"Gemini 3 Pro","Interacting with Others","Peer Relationships","quality of connections with classmates","Peer relationships refer to the general quality and stability of a student's social connections with classmates. This includes the ability to make friends, maintain friendships over time, and feel a sense of belonging within the peer group. Positive peer relationships are crucial for social support and school connectedness.","0.35","Social Communication","0.963","Peer Relationships","No","Yes"
"Gemini 3 Pro","Emotional Well-Being","Emotional Awareness","identifying and labeling own emotions","Emotional awareness is the ability to recognize and understand one's own emotions as they are happening. It involves distinguishing between different feeling states (e.g., frustration vs. anger) and understanding the causes of these feelings. This is a foundational skill for emotion regulation.","0.585","Emotion Regulation/Reactivity","0.901","Emotional Self-Awareness","Yes","Yes"
"Gemini 3 Pro","Emotional Well-Being","Resilience","recovering from setbacks","Resilience is the psychological strength to cope with stress and hardship. It is the ability to 'bounce back' from failures, disappointments, or adverse events. A resilient student can handle a poor grade or a social rejection without being overwhelmed, using the experience to learn and grow.","0.488","Perseverance","0.928","resilience","Yes","Yes"
"Gemini 3 Pro","Independence and Responsibility","Self-Advocacy","communicating needs and rights","Self-advocacy is the ability to speak up for oneself and one's views or needs. It involves understanding one's own learning strengths and needs and effectively communicating them to teachers and peers. This includes asking for help, requesting accommodations, and asserting personal boundaries.","0.431","Self-Control","0.951","Self-Advocacy","Yes","Yes"
"Gemini 3 Pro","Academic Skills and School Functioning","Curiosity","desire to learn and explore","Curiosity is a strong desire to know or learn something. In the classroom, it is demonstrated by asking questions that go beyond the basic requirements, exploring topics of interest independently, and showing genuine engagement with new material. Curiosity drives deep learning and intrinsic motivation.","0.538","Academic Motivation","0.936","Curiosity","Yes","Yes"
"Gemini 3 Pro","Academic Skills and School Functioning","Growth Mindset","belief that abilities can be developed","Growth mindset is the belief that intelligence and abilities can be developed through dedication and hard work. Students with a growth mindset view challenges as opportunities to learn rather than threats to their self-image. They persist in the face of setbacks and see effort as the path to mastery.","0.395","Thinking Speed","0.981","growth mindset","Yes","Yes"
"GPT 5.2 Thinking","Academic Engagement","Engagement with Learning","showing interest and involvement in learning activities","Engagement with learning reflects how much a student is mentally and behaviorally involved in instruction and learning tasks. In the classroom, it may show up as attending to lessons, participating appropriately, asking questions, and staying involved even when tasks are challenging. Low engagement may look like frequent disengagement, minimal participation, or avoidance of learning activities.","0.641","Social Engagement","0.759","Class Participation","Yes","Yes"
"GPT 5.2 Thinking","Academic Engagement","Effort Toward Schoolwork","applying consistent effort to school tasks regardless of difficulty","Effort toward schoolwork is the degree to which a student tries, practices, and persists with academic tasks. It can be seen in willingness to attempt work, revisit errors, and keep going after setbacks. Effort is distinct from skill level: a student can struggle academically but still show strong effort, or have strong skills but show low effort.","0.529","Academic Motivation","0.851","Effort","Yes","Yes"
"GPT 5.2 Thinking","Academic Engagement","Work Initiation","starting assigned tasks without excessive delay or repeated prompting","Work initiation refers to how readily a student begins a task after it is assigned. Students with strong work initiation can transition from instructions to action, gather needed materials, and begin within a reasonable amount of time. Challenges may appear as prolonged hesitation, needing frequent prompts to start, or avoiding the first step even when the task is understood.","0.475","Task Completion","0.867","Task Initiation","Yes","Yes"
"GPT 5.2 Thinking","Academic Engagement","Response to Feedback","using feedback or correction to adjust work and approach","Response to feedback describes how a student reacts to guidance, correction, and suggestions for improvement. A helpful response includes listening, asking clarifying questions, trying again, and making adjustments over time. Difficulty may show as shutting down, arguing, becoming embarrassed, or ignoring feedback, even when it is delivered supportively.","0.382","Emotion Regulation/Reactivity","0.745","Response to Redirection","Yes","Yes"
"GPT 5.2 Thinking","Academic Skills and School Functioning","Study and Practice Habits","using routines to review, practice, and prepare for learning","Study and practice habits reflect the routines a student uses to build knowledge and skills over time (e.g., reviewing notes, practicing skills, preparing for assessments, or completing practice work). Strong habits support steady learning and confidence. Weak habits may show as inconsistent preparation, cramming, or not knowing how to practice effectively outside of direct instruction.","0.685","Habits/Routines","0.676","Work Habits","Yes","Yes"
"GPT 5.2 Thinking","Academic Skills and School Functioning","Academic Confidence","believing in one’s ability to learn and succeed in school tasks","Academic confidence is a student’s belief that they can make progress and succeed in academic work. It influences willingness to participate, take academic risks (e.g., attempting difficult problems), and ask for help. Low academic confidence may appear as quick discouragement, avoidance of challenging work, or negative self-statements about ability.","0.747","Self-Confidence","0.797","Self-Confidence","Yes","Yes"
"GPT 5.2 Thinking","Behavior Control and Regulation","Response to Redirection","adjusting behavior after reminders, cues, or corrections","Response to redirection reflects how a student reacts when an adult provides a reminder or correction about expectations. Strong skills include acknowledging the cue, changing behavior, and returning to learning with minimal disruption. Difficulty may include arguing, escalating, needing multiple prompts, or showing lingering upset that interferes with re-engagement.","0.399","Emotion Regulation/Reactivity","0.745","Response to Feedback","Yes","Yes"
"GPT 5.2 Thinking","Behavior Control and Regulation","Personal Space and Boundaries","respecting physical space, privacy, and appropriate social boundaries","Personal space and boundaries describe a student’s ability to keep appropriate distance, use appropriate touch, and respect others’ privacy and belongings. This includes voice volume, physical proximity, and knowing when humor or comments may cross a line. Challenges may be seen in frequent crowding, grabbing items, unwanted physical contact, or difficulty reading when others want space.","0.366","Transitions","0.684","Social Boundaries","Yes","Yes"
"GPT 5.2 Thinking","Behavior Control and Regulation","Rule Understanding","understanding and remembering classroom and school rules","Rule understanding refers to how well a student comprehends, remembers, and can explain the expectations in different settings (classroom, hallway, cafeteria, playground). A student may know the rules but still have difficulty following them consistently; this subcategory focuses on understanding and recall of expectations. Gaps may show as frequent confusion about procedures or repeated questions about basic rules.","0.475","Compliance","0.777","Rule Following","Yes","Yes"
